[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_oracle_mask_00_001_b2a_oracle_mask_00_seed42
[b2a][epoch 1/50] loss=3.7475  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8708  val_acc=0.3056  macroF1=0.1055  edit=9.29  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6874  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4452  val_acc=0.5300  macroF1=0.1826  edit=20.10  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4333  val_acc=0.5802  macroF1=0.1945  edit=33.16  segF1@50=0.25
[b2a][epoch 6/50] loss=2.0526  val_acc=0.6752  macroF1=0.2300  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6501  val_acc=0.6422  macroF1=0.2210  edit=39.67  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5420  val_acc=0.6535  macroF1=0.2245  edit=41.00  segF1@50=0.21
[b2a][epoch 9/50] loss=1.4439  val_acc=0.6785  macroF1=0.2292  edit=32.78  segF1@50=0.19
[b2a][epoch 10/50] loss=1.4062  val_acc=0.6046  macroF1=0.2680  edit=24.70  segF1@50=0.12
[b2a][epoch 11/50] loss=1.2938  val_acc=0.7419  macroF1=0.3790  edit=36.18  segF1@50=0.22
[b2a][epoch 12/50] loss=1.1904  val_acc=0.8488  macroF1=0.5761  edit=28.44  segF1@50=0.25
[b2a][epoch 13/50] loss=1.1239  val_acc=0.7723  macroF1=0.4165  edit=37.33  segF1@50=0.28
[b2a][epoch 14/50] loss=1.0114  val_acc=0.8231  macroF1=0.4600  edit=40.60  segF1@50=0.37
[b2a][epoch 15/50] loss=0.9568  val_acc=0.8059  macroF1=0.5414  edit=29.35  segF1@50=0.24
[b2a][epoch 16/50] loss=0.8750  val_acc=0.8541  macroF1=0.5852  edit=32.38  segF1@50=0.25
[b2a][epoch 17/50] loss=0.8158  val_acc=0.8950  macroF1=0.6559  edit=47.78  segF1@50=0.42
[b2a][epoch 18/50] loss=0.7416  val_acc=0.9102  macroF1=0.6827  edit=50.00  segF1@50=0.43
[b2a][epoch 19/50] loss=0.6891  val_acc=0.9043  macroF1=0.6555  edit=46.19  segF1@50=0.42
[b2a][epoch 20/50] loss=0.7259  val_acc=0.8990  macroF1=0.6703  edit=33.48  segF1@50=0.34
[b2a][epoch 21/50] loss=0.6793  val_acc=0.8917  macroF1=0.6401  edit=32.13  segF1@50=0.33
[b2a][epoch 22/50] loss=0.6988  val_acc=0.9195  macroF1=0.6995  edit=42.11  segF1@50=0.41
[b2a][epoch 23/50] loss=0.6153  val_acc=0.8957  macroF1=0.6614  edit=43.13  segF1@50=0.35
[b2a][epoch 24/50] loss=0.5714  val_acc=0.9234  macroF1=0.7056  edit=48.44  segF1@50=0.44
[b2a][epoch 25/50] loss=0.5544  val_acc=0.9228  macroF1=0.7217  edit=45.63  segF1@50=0.43
[b2a][epoch 26/50] loss=0.5152  val_acc=0.9234  macroF1=0.7224  edit=34.91  segF1@50=0.36
[b2a][epoch 27/50] loss=0.5350  val_acc=0.8627  macroF1=0.6399  edit=32.44  segF1@50=0.26
[b2a][epoch 28/50] loss=0.5095  val_acc=0.9267  macroF1=0.7465  edit=46.95  segF1@50=0.43
[b2a][epoch 29/50] loss=0.4762  val_acc=0.9129  macroF1=0.6856  edit=41.97  segF1@50=0.42
[b2a][epoch 30/50] loss=0.4442  val_acc=0.9307  macroF1=0.7733  edit=37.70  segF1@50=0.38
[b2a][epoch 31/50] loss=0.4893  val_acc=0.9162  macroF1=0.6856  edit=39.85  segF1@50=0.41
[b2a][epoch 32/50] loss=0.5244  val_acc=0.8726  macroF1=0.6853  edit=33.83  segF1@50=0.34
[b2a][epoch 33/50] loss=0.4343  val_acc=0.9261  macroF1=0.7396  edit=42.17  segF1@50=0.40
[b2a][epoch 34/50] loss=0.4140  val_acc=0.9340  macroF1=0.7677  edit=45.44  segF1@50=0.46
[b2a][epoch 35/50] loss=0.3835  val_acc=0.9307  macroF1=0.7508  edit=39.73  segF1@50=0.41
[b2a][epoch 36/50] loss=0.3774  val_acc=0.9373  macroF1=0.7810  edit=50.52  segF1@50=0.48
[b2a][epoch 37/50] loss=0.3782  val_acc=0.9122  macroF1=0.7035  edit=36.15  segF1@50=0.37
[b2a][epoch 38/50] loss=0.3918  val_acc=0.8924  macroF1=0.6997  edit=32.22  segF1@50=0.29
[b2a][epoch 39/50] loss=0.3922  val_acc=0.9347  macroF1=0.7621  edit=45.63  segF1@50=0.43
[b2a][epoch 40/50] loss=0.3722  val_acc=0.9399  macroF1=0.7799  edit=48.63  segF1@50=0.51
[b2a][epoch 41/50] loss=0.3428  val_acc=0.9347  macroF1=0.7655  edit=46.69  segF1@50=0.47
[b2a][epoch 42/50] loss=0.3681  val_acc=0.9353  macroF1=0.7723  edit=47.30  segF1@50=0.49
[b2a][epoch 43/50] loss=0.3426  val_acc=0.9373  macroF1=0.7632  edit=46.83  segF1@50=0.47
[b2a][epoch 44/50] loss=0.3177  val_acc=0.9399  macroF1=0.7847  edit=45.67  segF1@50=0.46
