[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/t1a_probe_aug_001_t1a_probe_aug_seed42
[t1a][epoch 1/50] loss=2.9299  val_acc=0.6422  macroF1=0.2243  edit=28.87  segF1@50=0.25
[t1a][epoch 2/50] loss=1.6933  val_acc=0.6739  macroF1=0.2262  edit=22.56  segF1@50=0.19
[t1a][epoch 3/50] loss=1.2634  val_acc=0.6700  macroF1=0.2254  edit=34.11  segF1@50=0.29
[t1a][epoch 4/50] loss=1.0717  val_acc=0.6878  macroF1=0.2471  edit=36.78  segF1@50=0.27
[t1a][epoch 5/50] loss=0.9163  val_acc=0.8482  macroF1=0.5445  edit=35.09  segF1@50=0.36
[t1a][epoch 6/50] loss=0.7800  val_acc=0.9274  macroF1=0.7488  edit=49.33  segF1@50=0.52
[t1a][epoch 7/50] loss=0.6595  val_acc=0.9340  macroF1=0.7674  edit=57.95  segF1@50=0.58
[t1a][epoch 8/50] loss=0.5785  val_acc=0.9360  macroF1=0.7685  edit=66.99  segF1@50=0.64
[t1a][epoch 9/50] loss=0.6042  val_acc=0.9360  macroF1=0.7790  edit=57.41  segF1@50=0.60
[t1a][epoch 10/50] loss=0.6271  val_acc=0.9399  macroF1=0.7868  edit=49.40  segF1@50=0.52
[t1a][epoch 11/50] loss=0.5097  val_acc=0.9406  macroF1=0.7864  edit=47.78  segF1@50=0.50
[t1a][epoch 12/50] loss=0.4612  val_acc=0.9432  macroF1=0.7857  edit=45.51  segF1@50=0.49
[t1a][epoch 13/50] loss=0.4292  val_acc=0.9419  macroF1=0.7903  edit=50.00  segF1@50=0.52
[t1a][epoch 14/50] loss=0.4101  val_acc=0.9439  macroF1=0.7909  edit=41.99  segF1@50=0.45
[t1a][epoch 15/50] loss=0.3930  val_acc=0.9479  macroF1=0.8045  edit=47.16  segF1@50=0.53
[t1a][epoch 16/50] loss=0.3908  val_acc=0.9419  macroF1=0.7843  edit=45.17  segF1@50=0.49
[t1a][epoch 17/50] loss=0.4185  val_acc=0.9525  macroF1=0.8198  edit=44.15  segF1@50=0.47
[t1a][epoch 18/50] loss=0.3721  val_acc=0.9459  macroF1=0.7972  edit=41.51  segF1@50=0.46
[t1a][epoch 19/50] loss=0.3504  val_acc=0.9505  macroF1=0.8104  edit=44.15  segF1@50=0.49
[t1a][epoch 20/50] loss=0.3438  val_acc=0.9446  macroF1=0.7931  edit=42.50  segF1@50=0.46
[t1a][epoch 21/50] loss=0.3260  val_acc=0.9459  macroF1=0.8006  edit=40.01  segF1@50=0.41
[t1a][epoch 22/50] loss=0.3092  val_acc=0.9459  macroF1=0.8005  edit=39.29  segF1@50=0.44
[t1a][epoch 23/50] loss=0.3251  val_acc=0.9518  macroF1=0.8196  edit=42.26  segF1@50=0.46
[t1a][epoch 24/50] loss=0.3445  val_acc=0.9446  macroF1=0.7947  edit=41.51  segF1@50=0.46
[t1a][epoch 25/50] loss=0.3282  val_acc=0.9518  macroF1=0.8151  edit=40.28  segF1@50=0.44
[t1a][epoch 26/50] loss=0.4192  val_acc=0.9248  macroF1=0.7152  edit=38.87  segF1@50=0.38
[t1a][epoch 27/50] loss=0.5171  val_acc=0.9432  macroF1=0.7971  edit=35.78  segF1@50=0.43
[t1a][epoch 28/50] loss=0.4087  val_acc=0.9498  macroF1=0.8057  edit=31.65  segF1@50=0.34
[t1a][epoch 29/50] loss=0.3517  val_acc=0.9446  macroF1=0.8015  edit=41.15  segF1@50=0.41
[t1a][epoch 30/50] loss=0.2949  val_acc=0.9485  macroF1=0.8075  edit=34.86  segF1@50=0.39
[t1a][epoch 31/50] loss=0.2780  val_acc=0.9472  macroF1=0.8058  edit=43.06  segF1@50=0.43
[t1a][epoch 32/50] loss=0.2688  val_acc=0.9472  macroF1=0.8084  edit=45.13  segF1@50=0.47
[t1a][epoch 33/50] loss=0.2562  val_acc=0.9479  macroF1=0.8031  edit=39.29  segF1@50=0.44
[t1a][epoch 34/50] loss=0.2525  val_acc=0.9531  macroF1=0.8177  edit=46.73  segF1@50=0.50
[t1a][epoch 35/50] loss=0.2438  val_acc=0.9485  macroF1=0.8059  edit=36.81  segF1@50=0.43
[t1a][epoch 36/50] loss=0.2447  val_acc=0.9485  macroF1=0.8072  edit=34.86  segF1@50=0.38
[t1a][epoch 37/50] loss=0.2448  val_acc=0.9479  macroF1=0.8070  edit=40.81  segF1@50=0.47
[t1a][epoch 38/50] loss=0.2347  val_acc=0.9498  macroF1=0.8110  edit=36.38  segF1@50=0.41
[t1a][epoch 39/50] loss=0.2199  val_acc=0.9472  macroF1=0.8053  edit=39.68  segF1@50=0.46
[t1a][epoch 40/50] loss=0.2185  val_acc=0.9472  macroF1=0.8053  edit=34.86  segF1@50=0.41
[t1a][epoch 41/50] loss=0.2126  val_acc=0.9472  macroF1=0.8086  edit=35.59  segF1@50=0.44
[t1a][epoch 42/50] loss=0.2087  val_acc=0.9479  macroF1=0.8065  edit=40.63  segF1@50=0.47
[t1a][epoch 43/50] loss=0.2021  val_acc=0.9472  macroF1=0.8069  edit=36.90  segF1@50=0.44
[t1a][epoch 44/50] loss=0.2006  val_acc=0.9465  macroF1=0.8065  edit=34.20  segF1@50=0.40
[t1a][epoch 45/50] loss=0.1987  val_acc=0.9446  macroF1=0.8068  edit=41.91  segF1@50=0.49
[t1a][epoch 46/50] loss=0.1993  val_acc=0.9472  macroF1=0.8080  edit=39.44  segF1@50=0.44
[t1a][epoch 47/50] loss=0.1913  val_acc=0.9479  macroF1=0.8090  edit=35.59  segF1@50=0.44
[t1a][epoch 48/50] loss=0.1878  val_acc=0.9446  macroF1=0.8088  edit=35.22  segF1@50=0.41
[t1a][epoch 49/50] loss=0.1877  val_acc=0.9465  macroF1=0.8089  edit=41.07  segF1@50=0.44
[t1a][epoch 50/50] loss=0.1855  val_acc=0.9432  macroF1=0.8035  edit=32.39  segF1@50=0.37
[t1a] best @epoch 34: acc=0.9531 macroF1=0.8177
[t1a] evidence written -> /home/ubuntu/slocal/m2/experiments/transfer/t1a_probe_aug_001_t1a_probe_aug_seed42
