[taux] train clips=13  val clips=3  in_dim=5888  kernel=tecno  feature=movavg  k=3  target=region  region_only=False  classes=9  device=cuda
[taux] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/taux_tecno_movavgk3_001_taux_tecno_movavgk3_seed42
[taux][epoch 1/50] loss=2.8994  val_acc=0.6495  macroF1=0.2266  edit=33.71  segF1@50=0.25
[taux][epoch 2/50] loss=1.6073  val_acc=0.6772  macroF1=0.2273  edit=21.73  segF1@50=0.22
[taux][epoch 3/50] loss=1.2066  val_acc=0.6766  macroF1=0.2276  edit=31.44  segF1@50=0.27
[taux][epoch 4/50] loss=1.0434  val_acc=0.6878  macroF1=0.2526  edit=30.11  segF1@50=0.26
[taux][epoch 5/50] loss=0.9033  val_acc=0.8033  macroF1=0.4886  edit=31.78  segF1@50=0.26
[taux][epoch 6/50] loss=0.7867  val_acc=0.9142  macroF1=0.7216  edit=52.83  segF1@50=0.55
[taux][epoch 7/50] loss=0.6795  val_acc=0.9241  macroF1=0.7367  edit=63.42  segF1@50=0.63
[taux][epoch 8/50] loss=0.5954  val_acc=0.9248  macroF1=0.7436  edit=67.36  segF1@50=0.64
[taux][epoch 9/50] loss=0.5721  val_acc=0.9248  macroF1=0.7387  edit=49.60  segF1@50=0.45
[taux][epoch 10/50] loss=0.5938  val_acc=0.9228  macroF1=0.7570  edit=57.47  segF1@50=0.60
[taux][epoch 11/50] loss=0.5217  val_acc=0.9248  macroF1=0.7439  edit=46.18  segF1@50=0.42
[taux][epoch 12/50] loss=0.4718  val_acc=0.9327  macroF1=0.7613  edit=68.10  segF1@50=0.66
[taux][epoch 13/50] loss=0.4475  val_acc=0.9228  macroF1=0.7533  edit=48.66  segF1@50=0.44
[taux][epoch 14/50] loss=0.4356  val_acc=0.9353  macroF1=0.7725  edit=45.14  segF1@50=0.45
[taux][epoch 15/50] loss=0.4111  val_acc=0.9261  macroF1=0.7640  edit=46.58  segF1@50=0.48
[taux][epoch 16/50] loss=0.3897  val_acc=0.9314  macroF1=0.7688  edit=44.77  segF1@50=0.45
[taux][epoch 17/50] loss=0.3808  val_acc=0.9281  macroF1=0.7705  edit=45.63  segF1@50=0.47
[taux][epoch 18/50] loss=0.3677  val_acc=0.9333  macroF1=0.7706  edit=57.78  segF1@50=0.59
[taux][epoch 19/50] loss=0.3762  val_acc=0.9340  macroF1=0.7861  edit=45.90  segF1@50=0.45
[taux][epoch 20/50] loss=0.3908  val_acc=0.9294  macroF1=0.7551  edit=44.44  segF1@50=0.43
[taux][epoch 21/50] loss=0.3561  val_acc=0.9327  macroF1=0.7710  edit=42.54  segF1@50=0.43
[taux][epoch 22/50] loss=0.3368  val_acc=0.9380  macroF1=0.7885  edit=41.75  segF1@50=0.43
[taux][epoch 23/50] loss=0.3346  val_acc=0.9294  macroF1=0.7711  edit=44.44  segF1@50=0.45
[taux][epoch 24/50] loss=0.3377  val_acc=0.9366  macroF1=0.7920  edit=49.18  segF1@50=0.54
[taux][epoch 25/50] loss=0.3228  val_acc=0.9347  macroF1=0.7758  edit=43.18  segF1@50=0.44
[taux][epoch 26/50] loss=0.3134  val_acc=0.9281  macroF1=0.7718  edit=44.32  segF1@50=0.41
[taux][epoch 27/50] loss=0.3160  val_acc=0.9380  macroF1=0.7916  edit=42.05  segF1@50=0.43
