[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/t1a_base_env_003_t1a_base_env_seed456
[t1a][epoch 1/50] loss=2.7636  val_acc=0.6304  macroF1=0.2133  edit=16.57  segF1@50=0.20
[t1a][epoch 2/50] loss=1.7135  val_acc=0.6799  macroF1=0.2293  edit=29.33  segF1@50=0.22
[t1a][epoch 3/50] loss=1.1778  val_acc=0.6799  macroF1=0.2281  edit=31.59  segF1@50=0.28
[t1a][epoch 4/50] loss=0.9708  val_acc=0.8191  macroF1=0.5200  edit=30.24  segF1@50=0.23
[t1a][epoch 5/50] loss=0.8395  val_acc=0.8515  macroF1=0.5500  edit=36.02  segF1@50=0.32
[t1a][epoch 6/50] loss=0.7305  val_acc=0.8614  macroF1=0.5645  edit=42.96  segF1@50=0.39
[t1a][epoch 7/50] loss=0.6560  val_acc=0.8785  macroF1=0.6240  edit=49.60  segF1@50=0.47
[t1a][epoch 8/50] loss=0.7417  val_acc=0.9056  macroF1=0.6633  edit=36.13  segF1@50=0.33
[t1a][epoch 9/50] loss=0.6901  val_acc=0.9294  macroF1=0.7512  edit=35.96  segF1@50=0.38
[t1a][epoch 10/50] loss=0.5704  val_acc=0.9314  macroF1=0.7600  edit=45.45  segF1@50=0.48
[t1a][epoch 11/50] loss=0.5132  val_acc=0.9300  macroF1=0.7599  edit=44.77  segF1@50=0.48
[t1a][epoch 12/50] loss=0.4738  val_acc=0.9353  macroF1=0.7666  edit=44.59  segF1@50=0.48
[t1a][epoch 13/50] loss=0.4529  val_acc=0.9314  macroF1=0.7672  edit=47.78  segF1@50=0.51
[t1a][epoch 14/50] loss=0.4723  val_acc=0.9386  macroF1=0.7927  edit=42.00  segF1@50=0.46
[t1a][epoch 15/50] loss=0.4342  val_acc=0.9439  macroF1=0.7920  edit=43.16  segF1@50=0.49
[t1a][epoch 16/50] loss=0.4162  val_acc=0.9413  macroF1=0.7892  edit=45.37  segF1@50=0.49
[t1a][epoch 17/50] loss=0.3864  val_acc=0.9386  macroF1=0.7903  edit=44.44  segF1@50=0.49
[t1a][epoch 18/50] loss=0.3708  val_acc=0.9413  macroF1=0.7829  edit=40.63  segF1@50=0.47
[t1a][epoch 19/50] loss=0.3471  val_acc=0.9465  macroF1=0.7961  edit=39.44  segF1@50=0.46
[t1a][epoch 20/50] loss=0.3353  val_acc=0.9373  macroF1=0.7822  edit=42.86  segF1@50=0.48
[t1a][epoch 21/50] loss=0.3318  val_acc=0.9446  macroF1=0.8029  edit=37.86  segF1@50=0.44
[t1a][epoch 22/50] loss=0.3469  val_acc=0.9307  macroF1=0.7616  edit=45.00  segF1@50=0.46
[t1a][epoch 23/50] loss=0.3506  val_acc=0.9465  macroF1=0.8017  edit=38.82  segF1@50=0.45
[t1a][epoch 24/50] loss=0.3338  val_acc=0.9419  macroF1=0.7892  edit=39.96  segF1@50=0.44
[t1a][epoch 25/50] loss=0.3169  val_acc=0.9399  macroF1=0.7717  edit=40.33  segF1@50=0.47
[t1a][epoch 26/50] loss=0.2951  val_acc=0.9360  macroF1=0.7911  edit=40.74  segF1@50=0.44
[t1a][epoch 27/50] loss=0.2839  val_acc=0.9419  macroF1=0.7927  edit=39.77  segF1@50=0.46
[t1a][epoch 28/50] loss=0.2696  val_acc=0.9406  macroF1=0.7871  edit=37.57  segF1@50=0.44
[t1a][epoch 29/50] loss=0.2607  val_acc=0.9446  macroF1=0.7957  edit=33.01  segF1@50=0.40
[t1a][epoch 30/50] loss=0.2573  val_acc=0.9419  macroF1=0.7927  edit=38.38  segF1@50=0.45
[t1a][epoch 31/50] loss=0.2488  val_acc=0.9419  macroF1=0.7932  edit=38.52  segF1@50=0.45
[t1a][epoch 32/50] loss=0.2456  val_acc=0.9439  macroF1=0.7939  edit=35.83  segF1@50=0.42
[t1a][epoch 33/50] loss=0.2377  val_acc=0.9446  macroF1=0.8021  edit=38.83  segF1@50=0.45
[t1a][epoch 34/50] loss=0.2363  val_acc=0.9399  macroF1=0.7846  edit=37.16  segF1@50=0.43
[t1a][epoch 35/50] loss=0.2699  val_acc=0.9399  macroF1=0.7955  edit=35.71  segF1@50=0.38
[t1a][epoch 36/50] loss=0.2736  val_acc=0.9380  macroF1=0.7805  edit=30.74  segF1@50=0.35
[t1a][epoch 37/50] loss=0.3337  val_acc=0.9439  macroF1=0.7964  edit=32.01  segF1@50=0.40
[t1a][epoch 38/50] loss=0.3348  val_acc=0.9386  macroF1=0.7972  edit=36.67  segF1@50=0.40
[t1a][epoch 39/50] loss=0.2740  val_acc=0.9320  macroF1=0.7753  edit=36.67  segF1@50=0.39
[t1a][epoch 40/50] loss=0.2674  val_acc=0.9446  macroF1=0.8052  edit=31.42  segF1@50=0.35
[t1a][epoch 41/50] loss=0.2613  val_acc=0.9380  macroF1=0.7871  edit=35.29  segF1@50=0.39
[t1a][epoch 42/50] loss=0.2443  val_acc=0.9406  macroF1=0.7906  edit=32.71  segF1@50=0.36
[t1a][epoch 43/50] loss=0.2133  val_acc=0.9406  macroF1=0.7921  edit=31.16  segF1@50=0.35
[t1a][epoch 44/50] loss=0.2093  val_acc=0.9413  macroF1=0.7975  edit=30.74  segF1@50=0.37
[t1a][epoch 45/50] loss=0.2000  val_acc=0.9413  macroF1=0.7921  edit=37.17  segF1@50=0.43
[t1a][epoch 46/50] loss=0.1937  val_acc=0.9432  macroF1=0.7991  edit=30.34  segF1@50=0.37
[t1a][epoch 47/50] loss=0.1885  val_acc=0.9432  macroF1=0.7956  edit=30.74  segF1@50=0.35
[t1a][epoch 48/50] loss=0.1865  val_acc=0.9399  macroF1=0.7944  edit=32.06  segF1@50=0.37
[t1a][epoch 49/50] loss=0.1850  val_acc=0.9393  macroF1=0.7917  edit=37.18  segF1@50=0.43
[t1a][epoch 50/50] loss=0.1783  val_acc=0.9426  macroF1=0.7985  edit=31.60  segF1@50=0.38
[t1a] best @epoch 19: acc=0.9465 macroF1=0.7961
[t1a] evidence written -> /home/ubuntu/slocal/m2/experiments/transfer/t1a_base_env_003_t1a_base_env_seed456
