[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_oracle_noise_p030_001_t1a_combined_oracle_noise_p030_seed42
[t1a][epoch 1/50] loss=3.1353  val_acc=0.4119  macroF1=0.1127  edit=34.12  segF1@50=0.22
[t1a][epoch 2/50] loss=1.8105  val_acc=0.6818  macroF1=0.2292  edit=28.63  segF1@50=0.21
[t1a][epoch 3/50] loss=1.3193  val_acc=0.6726  macroF1=0.2302  edit=29.89  segF1@50=0.13
[t1a][epoch 4/50] loss=1.0953  val_acc=0.7868  macroF1=0.3794  edit=31.84  segF1@50=0.34
[t1a][epoch 5/50] loss=0.9211  val_acc=0.8231  macroF1=0.5026  edit=29.17  segF1@50=0.26
[t1a][epoch 6/50] loss=0.7908  val_acc=0.9003  macroF1=0.6858  edit=37.95  segF1@50=0.37
[t1a][epoch 7/50] loss=0.6881  val_acc=0.9175  macroF1=0.7258  edit=40.68  segF1@50=0.40
[t1a][epoch 8/50] loss=0.6157  val_acc=0.9248  macroF1=0.7470  edit=41.42  segF1@50=0.44
[t1a][epoch 9/50] loss=0.5604  val_acc=0.9314  macroF1=0.7627  edit=40.30  segF1@50=0.44
[t1a][epoch 10/50] loss=0.5709  val_acc=0.9366  macroF1=0.7879  edit=37.01  segF1@50=0.42
[t1a][epoch 11/50] loss=0.5809  val_acc=0.9261  macroF1=0.7549  edit=43.33  segF1@50=0.42
[t1a][epoch 12/50] loss=0.5034  val_acc=0.9399  macroF1=0.7822  edit=40.93  segF1@50=0.42
[t1a][epoch 13/50] loss=0.5071  val_acc=0.9314  macroF1=0.7667  edit=43.40  segF1@50=0.47
[t1a][epoch 14/50] loss=0.4644  val_acc=0.9406  macroF1=0.7926  edit=37.50  segF1@50=0.40
[t1a][epoch 15/50] loss=0.4308  val_acc=0.9380  macroF1=0.7767  edit=40.50  segF1@50=0.46
[t1a][epoch 16/50] loss=0.4019  val_acc=0.9353  macroF1=0.7820  edit=41.38  segF1@50=0.42
[t1a][epoch 17/50] loss=0.3836  val_acc=0.9426  macroF1=0.7916  edit=34.59  segF1@50=0.41
[t1a][epoch 18/50] loss=0.3686  val_acc=0.9373  macroF1=0.7805  edit=40.74  segF1@50=0.45
[t1a][epoch 19/50] loss=0.3727  val_acc=0.9472  macroF1=0.8034  edit=37.12  segF1@50=0.44
[t1a][epoch 20/50] loss=0.3965  val_acc=0.9380  macroF1=0.7777  edit=39.35  segF1@50=0.42
[t1a][epoch 21/50] loss=0.3594  val_acc=0.9413  macroF1=0.7913  edit=39.71  segF1@50=0.45
