[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_region_top3_mask_002_t1a_combined_region_top3_mask_seed42
[t1a][epoch 1/50] loss=3.4777  val_acc=0.3663  macroF1=0.0766  edit=2.67  segF1@50=0.17
[t1a][epoch 2/50] loss=2.2705  val_acc=0.6812  macroF1=0.2346  edit=32.78  segF1@50=0.29
[t1a][epoch 3/50] loss=1.7670  val_acc=0.6488  macroF1=0.2203  edit=29.19  segF1@50=0.20
[t1a][epoch 4/50] loss=1.5033  val_acc=0.6752  macroF1=0.2319  edit=32.78  segF1@50=0.30
[t1a][epoch 5/50] loss=1.2802  val_acc=0.6772  macroF1=0.2336  edit=34.11  segF1@50=0.28
[t1a][epoch 6/50] loss=1.1254  val_acc=0.8257  macroF1=0.5233  edit=32.33  segF1@50=0.25
[t1a][epoch 7/50] loss=1.0002  val_acc=0.8482  macroF1=0.5371  edit=34.54  segF1@50=0.28
[t1a][epoch 8/50] loss=0.8811  val_acc=0.8535  macroF1=0.5579  edit=39.56  segF1@50=0.35
[t1a][epoch 9/50] loss=0.7846  val_acc=0.8548  macroF1=0.5584  edit=46.62  segF1@50=0.40
[t1a][epoch 10/50] loss=0.7416  val_acc=0.8455  macroF1=0.5580  edit=40.33  segF1@50=0.38
[t1a][epoch 11/50] loss=0.7225  val_acc=0.8376  macroF1=0.5804  edit=26.75  segF1@50=0.24
[t1a][epoch 12/50] loss=0.7035  val_acc=0.8396  macroF1=0.5603  edit=30.56  segF1@50=0.24
[t1a][epoch 13/50] loss=0.6565  val_acc=0.8548  macroF1=0.5759  edit=33.66  segF1@50=0.27
[t1a][epoch 14/50] loss=0.6061  val_acc=0.8581  macroF1=0.5949  edit=33.12  segF1@50=0.34
[t1a][epoch 15/50] loss=0.5643  val_acc=0.8825  macroF1=0.6422  edit=37.11  segF1@50=0.30
[t1a][epoch 16/50] loss=0.5210  val_acc=0.8838  macroF1=0.6361  edit=35.95  segF1@50=0.27
[t1a][epoch 17/50] loss=0.4788  val_acc=0.8845  macroF1=0.6524  edit=36.67  segF1@50=0.30
[t1a][epoch 18/50] loss=0.4532  val_acc=0.8858  macroF1=0.6503  edit=34.82  segF1@50=0.31
[t1a][epoch 19/50] loss=0.4343  val_acc=0.8944  macroF1=0.6979  edit=33.80  segF1@50=0.33
[t1a][epoch 20/50] loss=0.4447  val_acc=0.8904  macroF1=0.6594  edit=33.70  segF1@50=0.27
[t1a][epoch 21/50] loss=0.4177  val_acc=0.9030  macroF1=0.6866  edit=36.14  segF1@50=0.34
[t1a][epoch 22/50] loss=0.3947  val_acc=0.8970  macroF1=0.7061  edit=29.44  segF1@50=0.29
[t1a][epoch 23/50] loss=0.3938  val_acc=0.8983  macroF1=0.6654  edit=35.03  segF1@50=0.28
[t1a][epoch 24/50] loss=0.3830  val_acc=0.9069  macroF1=0.7295  edit=39.62  segF1@50=0.35
[t1a][epoch 25/50] loss=0.3888  val_acc=0.9043  macroF1=0.6706  edit=34.22  segF1@50=0.31
[t1a][epoch 26/50] loss=0.3826  val_acc=0.9030  macroF1=0.6692  edit=34.22  segF1@50=0.30
[t1a][epoch 27/50] loss=0.3675  val_acc=0.9122  macroF1=0.7222  edit=31.83  segF1@50=0.33
[t1a][epoch 28/50] loss=0.3437  val_acc=0.9010  macroF1=0.6947  edit=28.70  segF1@50=0.24
[t1a][epoch 29/50] loss=0.3538  val_acc=0.9010  macroF1=0.7436  edit=31.79  segF1@50=0.30
[t1a][epoch 30/50] loss=0.3580  val_acc=0.9135  macroF1=0.7115  edit=30.35  segF1@50=0.31
