[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_deep_3s10l96f_003_t1a_deep_3s10l96f_seed456
[t1a][epoch 1/50] loss=4.4648  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[t1a][epoch 2/50] loss=2.9722  val_acc=0.5644  macroF1=0.1955  edit=19.00  segF1@50=0.04
[t1a][epoch 3/50] loss=2.3006  val_acc=0.6752  macroF1=0.2301  edit=22.00  segF1@50=0.13
[t1a][epoch 4/50] loss=1.6988  val_acc=0.6779  macroF1=0.2305  edit=30.11  segF1@50=0.17
[t1a][epoch 5/50] loss=1.3561  val_acc=0.7802  macroF1=0.3677  edit=32.00  segF1@50=0.18
[t1a][epoch 6/50] loss=1.1230  val_acc=0.7967  macroF1=0.3938  edit=39.20  segF1@50=0.32
[t1a][epoch 7/50] loss=0.9744  val_acc=0.9201  macroF1=0.7463  edit=39.30  segF1@50=0.37
[t1a][epoch 8/50] loss=0.9244  val_acc=0.9050  macroF1=0.6541  edit=36.42  segF1@50=0.36
[t1a][epoch 9/50] loss=0.9539  val_acc=0.9261  macroF1=0.7540  edit=30.74  segF1@50=0.34
[t1a][epoch 10/50] loss=0.7927  val_acc=0.9228  macroF1=0.7516  edit=34.51  segF1@50=0.38
[t1a][epoch 11/50] loss=0.7277  val_acc=0.9360  macroF1=0.7845  edit=39.24  segF1@50=0.42
[t1a][epoch 12/50] loss=0.6445  val_acc=0.9393  macroF1=0.7808  edit=40.81  segF1@50=0.46
[t1a][epoch 13/50] loss=0.5804  val_acc=0.9432  macroF1=0.7949  edit=38.69  segF1@50=0.47
[t1a][epoch 14/50] loss=0.5546  val_acc=0.9406  macroF1=0.7856  edit=37.17  segF1@50=0.41
[t1a][epoch 15/50] loss=0.6112  val_acc=0.9472  macroF1=0.8066  edit=40.32  segF1@50=0.45
[t1a][epoch 16/50] loss=0.5462  val_acc=0.9386  macroF1=0.7769  edit=41.36  segF1@50=0.43
[t1a][epoch 17/50] loss=0.4871  val_acc=0.9472  macroF1=0.8034  edit=41.67  segF1@50=0.47
[t1a][epoch 18/50] loss=0.4509  val_acc=0.9413  macroF1=0.7860  edit=37.17  segF1@50=0.43
[t1a][epoch 19/50] loss=0.4301  val_acc=0.9479  macroF1=0.8025  edit=36.00  segF1@50=0.44
[t1a][epoch 20/50] loss=0.4465  val_acc=0.9340  macroF1=0.7614  edit=38.22  segF1@50=0.43
[t1a][epoch 21/50] loss=0.5228  val_acc=0.9294  macroF1=0.7867  edit=32.79  segF1@50=0.38
[t1a][epoch 22/50] loss=0.5104  val_acc=0.9307  macroF1=0.7722  edit=27.42  segF1@50=0.29
[t1a][epoch 23/50] loss=0.4449  val_acc=0.9393  macroF1=0.7982  edit=31.96  segF1@50=0.37
[t1a][epoch 24/50] loss=0.4128  val_acc=0.9406  macroF1=0.7990  edit=31.64  segF1@50=0.35
[t1a][epoch 25/50] loss=0.3750  val_acc=0.9399  macroF1=0.7883  edit=34.76  segF1@50=0.38
[t1a][epoch 26/50] loss=0.3575  val_acc=0.9452  macroF1=0.8071  edit=32.06  segF1@50=0.40
[t1a][epoch 27/50] loss=0.3471  val_acc=0.9419  macroF1=0.7980  edit=36.55  segF1@50=0.42
[t1a][epoch 28/50] loss=0.3449  val_acc=0.9393  macroF1=0.7831  edit=31.17  segF1@50=0.37
[t1a][epoch 29/50] loss=0.3918  val_acc=0.9465  macroF1=0.8124  edit=32.52  segF1@50=0.36
[t1a][epoch 30/50] loss=0.3826  val_acc=0.9399  macroF1=0.7952  edit=29.91  segF1@50=0.33
