[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_00_001_t1a_region_mask_00_seed42
[t1a][epoch 1/50] loss=2.9671  val_acc=0.6515  macroF1=0.2270  edit=28.76  segF1@50=0.28
[t1a][epoch 2/50] loss=1.7117  val_acc=0.6792  macroF1=0.2282  edit=25.50  segF1@50=0.18
[t1a][epoch 3/50] loss=1.3050  val_acc=0.6733  macroF1=0.2267  edit=31.00  segF1@50=0.22
[t1a][epoch 4/50] loss=1.1447  val_acc=0.7083  macroF1=0.3096  edit=38.22  segF1@50=0.27
[t1a][epoch 5/50] loss=0.9800  val_acc=0.8436  macroF1=0.5261  edit=33.36  segF1@50=0.29
[t1a][epoch 6/50] loss=0.8598  val_acc=0.9142  macroF1=0.6787  edit=55.11  segF1@50=0.52
[t1a][epoch 7/50] loss=0.7281  val_acc=0.9116  macroF1=0.6731  edit=37.37  segF1@50=0.39
[t1a][epoch 8/50] loss=0.6411  val_acc=0.9149  macroF1=0.6929  edit=53.09  segF1@50=0.53
[t1a][epoch 9/50] loss=0.5718  val_acc=0.9175  macroF1=0.6809  edit=42.44  segF1@50=0.48
[t1a][epoch 10/50] loss=0.5603  val_acc=0.9188  macroF1=0.7153  edit=37.57  segF1@50=0.36
[t1a][epoch 11/50] loss=0.5678  val_acc=0.9109  macroF1=0.7477  edit=44.69  segF1@50=0.43
[t1a][epoch 12/50] loss=0.5504  val_acc=0.9208  macroF1=0.6837  edit=35.85  segF1@50=0.38
[t1a][epoch 13/50] loss=0.5077  val_acc=0.9201  macroF1=0.6867  edit=29.21  segF1@50=0.32
[t1a][epoch 14/50] loss=0.4836  val_acc=0.9228  macroF1=0.7401  edit=46.67  segF1@50=0.45
[t1a][epoch 15/50] loss=0.4388  val_acc=0.9294  macroF1=0.7306  edit=42.42  segF1@50=0.45
[t1a][epoch 16/50] loss=0.4088  val_acc=0.9241  macroF1=0.6911  edit=37.97  segF1@50=0.42
[t1a][epoch 17/50] loss=0.3871  val_acc=0.9254  macroF1=0.7532  edit=41.94  segF1@50=0.46
[t1a][epoch 18/50] loss=0.3639  val_acc=0.9294  macroF1=0.7394  edit=37.81  segF1@50=0.38
[t1a][epoch 19/50] loss=0.3536  val_acc=0.9327  macroF1=0.7583  edit=40.61  segF1@50=0.41
[t1a][epoch 20/50] loss=0.3408  val_acc=0.9287  macroF1=0.7228  edit=40.00  segF1@50=0.42
[t1a][epoch 21/50] loss=0.3269  val_acc=0.9353  macroF1=0.7608  edit=41.04  segF1@50=0.43
[t1a][epoch 22/50] loss=0.3128  val_acc=0.9380  macroF1=0.7724  edit=38.12  segF1@50=0.41
[t1a][epoch 23/50] loss=0.3139  val_acc=0.9228  macroF1=0.7145  edit=40.00  segF1@50=0.40
[t1a][epoch 24/50] loss=0.3139  val_acc=0.9314  macroF1=0.7793  edit=37.67  segF1@50=0.39
[t1a][epoch 25/50] loss=0.3735  val_acc=0.9221  macroF1=0.6955  edit=35.80  segF1@50=0.37
[t1a][epoch 26/50] loss=0.3830  val_acc=0.9195  macroF1=0.6879  edit=30.13  segF1@50=0.30
[t1a][epoch 27/50] loss=0.5236  val_acc=0.9102  macroF1=0.6765  edit=23.97  segF1@50=0.26
[t1a][epoch 28/50] loss=0.4562  val_acc=0.9347  macroF1=0.7651  edit=29.17  segF1@50=0.34
[t1a][epoch 29/50] loss=0.3836  val_acc=0.9314  macroF1=0.7716  edit=42.56  segF1@50=0.43
[t1a][epoch 30/50] loss=0.3282  val_acc=0.9353  macroF1=0.7487  edit=31.23  segF1@50=0.35
[t1a][epoch 31/50] loss=0.3103  val_acc=0.9320  macroF1=0.7845  edit=40.17  segF1@50=0.45
[t1a][epoch 32/50] loss=0.3005  val_acc=0.9373  macroF1=0.7629  edit=33.29  segF1@50=0.37
[t1a][epoch 33/50] loss=0.3160  val_acc=0.9320  macroF1=0.7888  edit=38.37  segF1@50=0.39
[t1a][epoch 34/50] loss=0.2811  val_acc=0.9241  macroF1=0.6990  edit=35.63  segF1@50=0.37
[t1a][epoch 35/50] loss=0.2573  val_acc=0.9366  macroF1=0.7606  edit=36.62  segF1@50=0.40
[t1a][epoch 36/50] loss=0.2434  val_acc=0.9353  macroF1=0.7647  edit=40.63  segF1@50=0.42
[t1a][epoch 37/50] loss=0.2395  val_acc=0.9399  macroF1=0.7835  edit=36.38  segF1@50=0.41
[t1a][epoch 38/50] loss=0.2357  val_acc=0.9333  macroF1=0.7515  edit=38.83  segF1@50=0.41
[t1a][epoch 39/50] loss=0.2352  val_acc=0.9399  macroF1=0.7784  edit=36.83  segF1@50=0.41
[t1a][epoch 40/50] loss=0.2261  val_acc=0.9373  macroF1=0.7683  edit=36.68  segF1@50=0.40
[t1a][epoch 41/50] loss=0.2194  val_acc=0.9406  macroF1=0.7836  edit=36.55  segF1@50=0.41
[t1a][epoch 42/50] loss=0.2150  val_acc=0.9333  macroF1=0.7540  edit=37.86  segF1@50=0.39
[t1a][epoch 43/50] loss=0.2081  val_acc=0.9406  macroF1=0.7816  edit=35.00  segF1@50=0.40
[t1a][epoch 44/50] loss=0.2056  val_acc=0.9353  macroF1=0.7653  edit=36.51  segF1@50=0.40
[t1a][epoch 45/50] loss=0.2006  val_acc=0.9406  macroF1=0.7828  edit=37.29  segF1@50=0.43
[t1a][epoch 46/50] loss=0.2026  val_acc=0.9373  macroF1=0.7784  edit=35.75  segF1@50=0.40
[t1a][epoch 47/50] loss=0.1945  val_acc=0.9366  macroF1=0.7709  edit=35.29  segF1@50=0.39
[t1a][epoch 48/50] loss=0.1896  val_acc=0.9393  macroF1=0.7788  edit=36.75  segF1@50=0.41
[t1a][epoch 49/50] loss=0.1836  val_acc=0.9327  macroF1=0.7700  edit=33.26  segF1@50=0.37
[t1a][epoch 50/50] loss=0.1839  val_acc=0.9366  macroF1=0.7755  edit=33.10  segF1@50=0.38
[t1a] best @epoch 41: acc=0.9406 macroF1=0.7836
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_00_001_t1a_region_mask_00_seed42
