Notion logging skipped: HTTPSConnectionPool(host='api.notion.com', port=443): Read timed out. (read timeout=30)
[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_03_002_t1a_region_mask_03_seed123
[t1a][epoch 1/50] loss=2.6339  val_acc=0.6832  macroF1=0.2300  edit=17.46  segF1@50=0.15
[t1a][epoch 2/50] loss=1.5116  val_acc=0.6719  macroF1=0.2277  edit=28.58  segF1@50=0.13
[t1a][epoch 3/50] loss=1.1423  val_acc=0.6825  macroF1=0.2294  edit=24.16  segF1@50=0.23
[t1a][epoch 4/50] loss=0.9471  val_acc=0.8224  macroF1=0.4859  edit=29.15  segF1@50=0.22
[t1a][epoch 5/50] loss=0.8120  val_acc=0.8891  macroF1=0.6462  edit=39.38  segF1@50=0.33
[t1a][epoch 6/50] loss=0.6782  val_acc=0.8818  macroF1=0.6320  edit=41.26  segF1@50=0.38
[t1a][epoch 7/50] loss=0.6234  val_acc=0.9188  macroF1=0.7251  edit=38.89  segF1@50=0.40
[t1a][epoch 8/50] loss=0.5841  val_acc=0.9294  macroF1=0.7452  edit=39.57  segF1@50=0.43
[t1a][epoch 9/50] loss=0.5199  val_acc=0.9261  macroF1=0.7543  edit=36.83  segF1@50=0.41
[t1a][epoch 10/50] loss=0.4724  val_acc=0.9281  macroF1=0.7520  edit=39.08  segF1@50=0.42
[t1a][epoch 11/50] loss=0.4679  val_acc=0.9360  macroF1=0.7735  edit=37.89  segF1@50=0.42
[t1a][epoch 12/50] loss=0.4245  val_acc=0.9307  macroF1=0.7621  edit=39.08  segF1@50=0.41
[t1a][epoch 13/50] loss=0.4249  val_acc=0.9426  macroF1=0.7948  edit=38.36  segF1@50=0.43
[t1a][epoch 14/50] loss=0.4483  val_acc=0.9248  macroF1=0.7395  edit=38.82  segF1@50=0.42
[t1a][epoch 15/50] loss=0.4934  val_acc=0.9465  macroF1=0.8047  edit=31.11  segF1@50=0.39
[t1a][epoch 16/50] loss=0.4172  val_acc=0.9386  macroF1=0.7938  edit=37.68  segF1@50=0.41
[t1a][epoch 17/50] loss=0.3751  val_acc=0.9446  macroF1=0.7965  edit=33.66  segF1@50=0.40
