[t1a] train clips=13  val clips=3  in_dim=3840  region_only=True  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_003_t1a_region_only_seed456
[t1a][epoch 1/50] loss=2.7270  val_acc=0.3677  macroF1=0.0790  edit=23.28  segF1@50=0.13
[t1a][epoch 2/50] loss=1.5985  val_acc=0.6818  macroF1=0.2313  edit=22.71  segF1@50=0.16
[t1a][epoch 3/50] loss=1.1402  val_acc=0.7723  macroF1=0.3696  edit=26.74  segF1@50=0.18
[t1a][epoch 4/50] loss=0.9335  val_acc=0.8495  macroF1=0.5384  edit=28.16  segF1@50=0.27
[t1a][epoch 5/50] loss=0.7770  val_acc=0.8587  macroF1=0.5573  edit=41.60  segF1@50=0.41
[t1a][epoch 6/50] loss=0.6699  val_acc=0.9089  macroF1=0.7027  edit=30.49  segF1@50=0.31
[t1a][epoch 7/50] loss=0.6247  val_acc=0.9294  macroF1=0.7573  edit=32.50  segF1@50=0.35
[t1a][epoch 8/50] loss=0.7173  val_acc=0.9122  macroF1=0.6758  edit=28.55  segF1@50=0.27
[t1a][epoch 9/50] loss=0.6612  val_acc=0.9314  macroF1=0.7515  edit=35.96  segF1@50=0.40
[t1a][epoch 10/50] loss=0.5550  val_acc=0.9274  macroF1=0.7470  edit=33.51  segF1@50=0.38
[t1a][epoch 11/50] loss=0.5079  val_acc=0.9300  macroF1=0.7618  edit=34.92  segF1@50=0.36
[t1a][epoch 12/50] loss=0.4722  val_acc=0.9327  macroF1=0.7713  edit=42.05  segF1@50=0.45
[t1a][epoch 13/50] loss=0.4479  val_acc=0.9327  macroF1=0.7706  edit=39.15  segF1@50=0.43
[t1a][epoch 14/50] loss=0.4712  val_acc=0.9340  macroF1=0.7881  edit=35.58  segF1@50=0.36
[t1a][epoch 15/50] loss=0.4314  val_acc=0.9399  macroF1=0.7817  edit=36.00  segF1@50=0.42
[t1a][epoch 16/50] loss=0.4134  val_acc=0.9380  macroF1=0.7916  edit=33.45  segF1@50=0.38
[t1a][epoch 17/50] loss=0.3878  val_acc=0.9393  macroF1=0.7863  edit=33.52  segF1@50=0.40
[t1a][epoch 18/50] loss=0.3691  val_acc=0.9426  macroF1=0.7964  edit=35.33  segF1@50=0.41
[t1a][epoch 19/50] loss=0.3515  val_acc=0.9380  macroF1=0.7895  edit=31.85  segF1@50=0.37
[t1a][epoch 20/50] loss=0.3519  val_acc=0.9406  macroF1=0.7984  edit=34.31  segF1@50=0.40
[t1a][epoch 21/50] loss=0.3434  val_acc=0.9413  macroF1=0.7811  edit=35.44  segF1@50=0.41
[t1a][epoch 22/50] loss=0.3506  val_acc=0.9472  macroF1=0.8024  edit=33.45  segF1@50=0.40
[t1a][epoch 23/50] loss=0.3304  val_acc=0.9413  macroF1=0.7955  edit=35.51  segF1@50=0.42
[t1a][epoch 24/50] loss=0.3149  val_acc=0.9452  macroF1=0.7980  edit=33.92  segF1@50=0.41
[t1a][epoch 25/50] loss=0.3155  val_acc=0.9465  macroF1=0.8004  edit=34.38  segF1@50=0.41
[t1a][epoch 26/50] loss=0.2984  val_acc=0.9432  macroF1=0.7944  edit=34.17  segF1@50=0.40
[t1a][epoch 27/50] loss=0.2884  val_acc=0.9446  macroF1=0.7916  edit=34.84  segF1@50=0.42
[t1a][epoch 28/50] loss=0.2787  val_acc=0.9446  macroF1=0.8003  edit=35.14  segF1@50=0.41
[t1a][epoch 29/50] loss=0.2665  val_acc=0.9419  macroF1=0.7905  edit=33.01  segF1@50=0.39
[t1a][epoch 30/50] loss=0.2673  val_acc=0.9459  macroF1=0.8005  edit=32.59  segF1@50=0.40
[t1a][epoch 31/50] loss=0.2813  val_acc=0.9432  macroF1=0.7898  edit=32.19  segF1@50=0.39
[t1a][epoch 32/50] loss=0.2876  val_acc=0.9406  macroF1=0.7986  edit=31.45  segF1@50=0.35
[t1a][epoch 33/50] loss=0.2679  val_acc=0.9465  macroF1=0.7991  edit=33.01  segF1@50=0.40
[t1a][epoch 34/50] loss=0.2515  val_acc=0.9452  macroF1=0.8016  edit=36.63  segF1@50=0.44
[t1a][epoch 35/50] loss=0.2491  val_acc=0.9406  macroF1=0.7920  edit=29.39  segF1@50=0.36
[t1a][epoch 36/50] loss=0.2455  val_acc=0.9472  macroF1=0.8099  edit=33.85  segF1@50=0.43
[t1a][epoch 37/50] loss=0.2394  val_acc=0.9439  macroF1=0.7920  edit=31.80  segF1@50=0.39
[t1a][epoch 38/50] loss=0.2311  val_acc=0.9432  macroF1=0.7986  edit=35.19  segF1@50=0.41
[t1a][epoch 39/50] loss=0.2234  val_acc=0.9459  macroF1=0.7986  edit=30.69  segF1@50=0.38
[t1a][epoch 40/50] loss=0.2191  val_acc=0.9399  macroF1=0.7961  edit=33.33  segF1@50=0.39
[t1a][epoch 41/50] loss=0.2189  val_acc=0.9413  macroF1=0.7966  edit=33.84  segF1@50=0.40
[t1a][epoch 42/50] loss=0.2085  val_acc=0.9426  macroF1=0.7963  edit=34.78  segF1@50=0.41
[t1a][epoch 43/50] loss=0.2030  val_acc=0.9452  macroF1=0.7968  edit=32.11  segF1@50=0.38
[t1a][epoch 44/50] loss=0.2016  val_acc=0.9413  macroF1=0.7954  edit=33.84  segF1@50=0.40
[t1a][epoch 45/50] loss=0.1970  val_acc=0.9432  macroF1=0.7957  edit=34.36  segF1@50=0.40
[t1a][epoch 46/50] loss=0.1953  val_acc=0.9399  macroF1=0.8005  edit=29.57  segF1@50=0.37
[t1a][epoch 47/50] loss=0.1941  val_acc=0.9399  macroF1=0.7880  edit=30.47  segF1@50=0.36
[t1a][epoch 48/50] loss=0.2016  val_acc=0.9419  macroF1=0.7881  edit=28.80  segF1@50=0.35
[t1a][epoch 49/50] loss=0.2158  val_acc=0.9406  macroF1=0.8009  edit=33.17  segF1@50=0.40
[t1a][epoch 50/50] loss=0.2151  val_acc=0.9274  macroF1=0.7810  edit=35.33  segF1@50=0.35
[t1a] best @epoch 22: acc=0.9472 macroF1=0.8024
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_003_t1a_region_only_seed456
