[t1a] train clips=13  val clips=3  in_dim=3840  region_only=True  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_mask_top3_001_t1a_region_only_mask_top3_seed42
[t1a][epoch 1/50] loss=3.3817  val_acc=0.2898  macroF1=0.0960  edit=14.91  segF1@50=0.00
[t1a][epoch 2/50] loss=2.2362  val_acc=0.6653  macroF1=0.2275  edit=20.44  segF1@50=0.02
[t1a][epoch 3/50] loss=1.8175  val_acc=0.6634  macroF1=0.2259  edit=19.95  segF1@50=0.16
[t1a][epoch 4/50] loss=1.5375  val_acc=0.6759  macroF1=0.2324  edit=32.78  segF1@50=0.30
[t1a][epoch 5/50] loss=1.3014  val_acc=0.7406  macroF1=0.3887  edit=27.47  segF1@50=0.20
[t1a][epoch 6/50] loss=1.1528  val_acc=0.8442  macroF1=0.5923  edit=34.71  segF1@50=0.27
[t1a][epoch 7/50] loss=1.0239  val_acc=0.8554  macroF1=0.5652  edit=27.71  segF1@50=0.28
[t1a][epoch 8/50] loss=0.9151  val_acc=0.8515  macroF1=0.5908  edit=34.22  segF1@50=0.29
[t1a][epoch 9/50] loss=0.8459  val_acc=0.8554  macroF1=0.5513  edit=39.30  segF1@50=0.35
[t1a][epoch 10/50] loss=0.7814  val_acc=0.8528  macroF1=0.5511  edit=46.91  segF1@50=0.40
[t1a][epoch 11/50] loss=0.7686  val_acc=0.8224  macroF1=0.5319  edit=28.99  segF1@50=0.29
[t1a][epoch 12/50] loss=0.8607  val_acc=0.8455  macroF1=0.5670  edit=35.41  segF1@50=0.28
[t1a][epoch 13/50] loss=0.7703  val_acc=0.8594  macroF1=0.6036  edit=36.28  segF1@50=0.29
[t1a][epoch 14/50] loss=0.6998  val_acc=0.8211  macroF1=0.5673  edit=38.67  segF1@50=0.29
[t1a][epoch 15/50] loss=0.6596  val_acc=0.8647  macroF1=0.5838  edit=33.04  segF1@50=0.32
[t1a][epoch 16/50] loss=0.5925  val_acc=0.8455  macroF1=0.5839  edit=35.42  segF1@50=0.27
[t1a][epoch 17/50] loss=0.5756  val_acc=0.8581  macroF1=0.5903  edit=33.78  segF1@50=0.25
[t1a][epoch 18/50] loss=0.6032  val_acc=0.8568  macroF1=0.5889  edit=32.00  segF1@50=0.27
[t1a][epoch 19/50] loss=0.6369  val_acc=0.8574  macroF1=0.6279  edit=33.84  segF1@50=0.30
[t1a][epoch 20/50] loss=0.5844  val_acc=0.8541  macroF1=0.5946  edit=30.59  segF1@50=0.25
[t1a][epoch 21/50] loss=0.5175  val_acc=0.8667  macroF1=0.6306  edit=31.51  segF1@50=0.25
[t1a][epoch 22/50] loss=0.4910  val_acc=0.8726  macroF1=0.6230  edit=30.96  segF1@50=0.26
[t1a][epoch 23/50] loss=0.5166  val_acc=0.8812  macroF1=0.6583  edit=34.61  segF1@50=0.31
[t1a][epoch 24/50] loss=0.4983  val_acc=0.8752  macroF1=0.6318  edit=33.73  segF1@50=0.28
[t1a][epoch 25/50] loss=0.4555  val_acc=0.8878  macroF1=0.6714  edit=36.61  segF1@50=0.29
[t1a][epoch 26/50] loss=0.4339  val_acc=0.8799  macroF1=0.6605  edit=36.00  segF1@50=0.27
[t1a][epoch 27/50] loss=0.4095  val_acc=0.8865  macroF1=0.6609  edit=34.19  segF1@50=0.28
[t1a][epoch 28/50] loss=0.4007  val_acc=0.8752  macroF1=0.6671  edit=37.49  segF1@50=0.34
[t1a][epoch 29/50] loss=0.3876  val_acc=0.8845  macroF1=0.6447  edit=32.16  segF1@50=0.29
[t1a][epoch 30/50] loss=0.3708  val_acc=0.8779  macroF1=0.6767  edit=35.24  segF1@50=0.33
[t1a][epoch 31/50] loss=0.3679  val_acc=0.8924  macroF1=0.6610  edit=34.71  segF1@50=0.33
[t1a][epoch 32/50] loss=0.3660  val_acc=0.8865  macroF1=0.6832  edit=33.63  segF1@50=0.30
[t1a][epoch 33/50] loss=0.3453  val_acc=0.8931  macroF1=0.6782  edit=37.73  segF1@50=0.32
[t1a][epoch 34/50] loss=0.3356  val_acc=0.8845  macroF1=0.6817  edit=37.31  segF1@50=0.33
[t1a][epoch 35/50] loss=0.3302  val_acc=0.8957  macroF1=0.6961  edit=34.93  segF1@50=0.32
[t1a][epoch 36/50] loss=0.3203  val_acc=0.8871  macroF1=0.6886  edit=35.66  segF1@50=0.33
[t1a][epoch 37/50] loss=0.3300  val_acc=0.8871  macroF1=0.6436  edit=28.88  segF1@50=0.29
[t1a][epoch 38/50] loss=0.3801  val_acc=0.8825  macroF1=0.6858  edit=34.92  segF1@50=0.32
[t1a][epoch 39/50] loss=0.3468  val_acc=0.8990  macroF1=0.6820  edit=35.51  segF1@50=0.33
[t1a][epoch 40/50] loss=0.3327  val_acc=0.8858  macroF1=0.6884  edit=40.02  segF1@50=0.35
[t1a][epoch 41/50] loss=0.3207  val_acc=0.8858  macroF1=0.6906  edit=31.40  segF1@50=0.28
[t1a][epoch 42/50] loss=0.3222  val_acc=0.8871  macroF1=0.6928  edit=31.05  segF1@50=0.30
[t1a][epoch 43/50] loss=0.2981  val_acc=0.8845  macroF1=0.6898  edit=39.00  segF1@50=0.35
[t1a][epoch 44/50] loss=0.3014  val_acc=0.8818  macroF1=0.6931  edit=26.43  segF1@50=0.24
[t1a][epoch 45/50] loss=0.3273  val_acc=0.8957  macroF1=0.7076  edit=36.34  segF1@50=0.32
[t1a][epoch 46/50] loss=0.3177  val_acc=0.8917  macroF1=0.7046  edit=32.89  segF1@50=0.31
[t1a][epoch 47/50] loss=0.5027  val_acc=0.8858  macroF1=0.6481  edit=30.29  segF1@50=0.27
[t1a][epoch 48/50] loss=0.6433  val_acc=0.8132  macroF1=0.6026  edit=34.21  segF1@50=0.28
[t1a][epoch 49/50] loss=0.5520  val_acc=0.8244  macroF1=0.5950  edit=25.46  segF1@50=0.25
[t1a][epoch 50/50] loss=0.3868  val_acc=0.8673  macroF1=0.6419  edit=33.59  segF1@50=0.30
[t1a] best @epoch 39: acc=0.8990 macroF1=0.6820
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_mask_top3_001_t1a_region_only_mask_top3_seed42
