[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_regiontoken_002_t1a_regiontoken_seed123
[t1a][epoch 1/50] loss=2.6253  val_acc=0.6858  macroF1=0.2301  edit=27.29  segF1@50=0.24
[t1a][epoch 2/50] loss=1.5158  val_acc=0.6680  macroF1=0.2269  edit=26.79  segF1@50=0.12
[t1a][epoch 3/50] loss=1.1321  val_acc=0.6838  macroF1=0.2343  edit=33.78  segF1@50=0.23
[t1a][epoch 4/50] loss=0.9402  val_acc=0.8238  macroF1=0.4876  edit=29.78  segF1@50=0.23
[t1a][epoch 5/50] loss=0.8076  val_acc=0.8858  macroF1=0.6389  edit=39.78  segF1@50=0.32
[t1a][epoch 6/50] loss=0.6709  val_acc=0.8845  macroF1=0.6380  edit=42.00  segF1@50=0.38
[t1a][epoch 7/50] loss=0.6060  val_acc=0.9188  macroF1=0.7278  edit=36.32  segF1@50=0.38
[t1a][epoch 8/50] loss=0.5755  val_acc=0.9261  macroF1=0.7399  edit=39.08  segF1@50=0.42
[t1a][epoch 9/50] loss=0.5121  val_acc=0.9274  macroF1=0.7595  edit=41.43  segF1@50=0.43
[t1a][epoch 10/50] loss=0.4698  val_acc=0.9274  macroF1=0.7454  edit=40.51  segF1@50=0.44
[t1a][epoch 11/50] loss=0.5166  val_acc=0.9380  macroF1=0.7720  edit=36.97  segF1@50=0.40
[t1a][epoch 12/50] loss=0.4667  val_acc=0.9267  macroF1=0.7778  edit=45.75  segF1@50=0.50
[t1a][epoch 13/50] loss=0.4247  val_acc=0.9333  macroF1=0.7668  edit=44.39  segF1@50=0.48
[t1a][epoch 14/50] loss=0.4029  val_acc=0.9380  macroF1=0.7899  edit=38.29  segF1@50=0.42
[t1a][epoch 15/50] loss=0.3758  val_acc=0.9439  macroF1=0.7964  edit=38.36  segF1@50=0.44
[t1a][epoch 16/50] loss=0.3775  val_acc=0.9327  macroF1=0.7580  edit=38.24  segF1@50=0.43
[t1a][epoch 17/50] loss=0.4532  val_acc=0.9426  macroF1=0.8121  edit=40.14  segF1@50=0.45
[t1a][epoch 18/50] loss=0.3868  val_acc=0.9406  macroF1=0.7926  edit=36.83  segF1@50=0.42
[t1a][epoch 19/50] loss=0.3481  val_acc=0.9459  macroF1=0.7947  edit=35.13  segF1@50=0.42
[t1a][epoch 20/50] loss=0.3213  val_acc=0.9353  macroF1=0.7933  edit=41.31  segF1@50=0.44
[t1a][epoch 21/50] loss=0.3046  val_acc=0.9406  macroF1=0.7862  edit=33.66  segF1@50=0.40
[t1a][epoch 22/50] loss=0.3273  val_acc=0.9472  macroF1=0.8049  edit=35.14  segF1@50=0.39
[t1a][epoch 23/50] loss=0.3632  val_acc=0.9333  macroF1=0.7750  edit=37.90  segF1@50=0.42
[t1a][epoch 24/50] loss=0.3801  val_acc=0.9485  macroF1=0.8090  edit=37.04  segF1@50=0.44
[t1a][epoch 25/50] loss=0.2995  val_acc=0.9373  macroF1=0.7948  edit=34.78  segF1@50=0.39
[t1a][epoch 26/50] loss=0.2718  val_acc=0.9426  macroF1=0.7904  edit=33.45  segF1@50=0.40
[t1a][epoch 27/50] loss=0.2694  val_acc=0.9366  macroF1=0.7918  edit=40.63  segF1@50=0.43
[t1a][epoch 28/50] loss=0.2585  val_acc=0.9360  macroF1=0.7924  edit=37.68  segF1@50=0.41
[t1a][epoch 29/50] loss=0.2517  val_acc=0.9426  macroF1=0.7937  edit=31.67  segF1@50=0.38
[t1a][epoch 30/50] loss=0.2403  val_acc=0.9432  macroF1=0.7950  edit=37.16  segF1@50=0.43
[t1a][epoch 31/50] loss=0.2354  val_acc=0.9452  macroF1=0.7976  edit=36.63  segF1@50=0.43
[t1a][epoch 32/50] loss=0.2279  val_acc=0.9452  macroF1=0.7985  edit=36.63  segF1@50=0.43
[t1a][epoch 33/50] loss=0.2231  val_acc=0.9452  macroF1=0.8011  edit=34.44  segF1@50=0.41
[t1a][epoch 34/50] loss=0.2196  val_acc=0.9439  macroF1=0.7955  edit=35.89  segF1@50=0.42
[t1a][epoch 35/50] loss=0.2180  val_acc=0.9446  macroF1=0.8089  edit=32.85  segF1@50=0.41
[t1a][epoch 36/50] loss=0.2265  val_acc=0.9386  macroF1=0.7848  edit=29.53  segF1@50=0.36
[t1a][epoch 37/50] loss=0.2254  val_acc=0.9459  macroF1=0.8107  edit=38.10  segF1@50=0.46
[t1a][epoch 38/50] loss=0.2373  val_acc=0.9307  macroF1=0.7797  edit=31.94  segF1@50=0.33
[t1a][epoch 39/50] loss=0.2727  val_acc=0.9340  macroF1=0.8012  edit=33.67  segF1@50=0.35
[t1a][epoch 40/50] loss=0.2991  val_acc=0.9340  macroF1=0.7799  edit=34.42  segF1@50=0.37
[t1a][epoch 41/50] loss=0.2635  val_acc=0.9399  macroF1=0.7922  edit=23.05  segF1@50=0.31
[t1a][epoch 42/50] loss=0.2561  val_acc=0.9327  macroF1=0.7884  edit=28.56  segF1@50=0.32
[t1a][epoch 43/50] loss=0.2290  val_acc=0.9366  macroF1=0.7916  edit=31.00  segF1@50=0.34
[t1a][epoch 44/50] loss=0.2026  val_acc=0.9452  macroF1=0.7999  edit=29.58  segF1@50=0.36
[t1a][epoch 45/50] loss=0.1911  val_acc=0.9419  macroF1=0.7963  edit=33.67  segF1@50=0.40
[t1a][epoch 46/50] loss=0.1831  val_acc=0.9439  macroF1=0.7988  edit=29.58  segF1@50=0.36
[t1a][epoch 47/50] loss=0.1777  val_acc=0.9446  macroF1=0.7991  edit=30.34  segF1@50=0.37
[t1a][epoch 48/50] loss=0.1741  val_acc=0.9386  macroF1=0.7900  edit=27.95  segF1@50=0.32
[t1a][epoch 49/50] loss=0.1684  val_acc=0.9399  macroF1=0.7911  edit=28.95  segF1@50=0.33
[t1a][epoch 50/50] loss=0.1656  val_acc=0.9406  macroF1=0.7935  edit=29.53  segF1@50=0.36
[t1a] best @epoch 24: acc=0.9485 macroF1=0.8090
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_regiontoken_002_t1a_regiontoken_seed123
