[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_shuffle_003_t1a_shuffle_seed456
[t1a][epoch 1/50] loss=3.5018  val_acc=0.3571  macroF1=0.0764  edit=2.67  segF1@50=0.17
[t1a][epoch 2/50] loss=2.9269  val_acc=0.3340  macroF1=0.0715  edit=9.67  segF1@50=0.00
[t1a][epoch 3/50] loss=2.7802  val_acc=0.2257  macroF1=0.0526  edit=2.13  segF1@50=0.00
[t1a][epoch 4/50] loss=2.7148  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[t1a][epoch 5/50] loss=2.5893  val_acc=0.3591  macroF1=0.1169  edit=3.91  segF1@50=0.00
[t1a][epoch 6/50] loss=2.4664  val_acc=0.6475  macroF1=0.2199  edit=20.56  segF1@50=0.00
[t1a][epoch 7/50] loss=2.5728  val_acc=0.3452  macroF1=0.0806  edit=22.13  segF1@50=0.00
[t1a][epoch 8/50] loss=2.4097  val_acc=0.6502  macroF1=0.2228  edit=25.56  segF1@50=0.00
[t1a][epoch 9/50] loss=2.3861  val_acc=0.3340  macroF1=0.0715  edit=9.67  segF1@50=0.00
[t1a][epoch 10/50] loss=2.4413  val_acc=0.4013  macroF1=0.1196  edit=17.75  segF1@50=0.00
[t1a][epoch 11/50] loss=2.0863  val_acc=0.6766  macroF1=0.2601  edit=26.32  segF1@50=0.07
[t1a][epoch 12/50] loss=1.9842  val_acc=0.6812  macroF1=0.2751  edit=36.10  segF1@50=0.11
[t1a][epoch 13/50] loss=1.7492  val_acc=0.6627  macroF1=0.2720  edit=25.37  segF1@50=0.09
[t1a][epoch 14/50] loss=1.5933  val_acc=0.6007  macroF1=0.2580  edit=22.38  segF1@50=0.09
[t1a][epoch 15/50] loss=1.5190  val_acc=0.7076  macroF1=0.3053  edit=34.55  segF1@50=0.27
[t1a][epoch 16/50] loss=1.4954  val_acc=0.6046  macroF1=0.2996  edit=17.36  segF1@50=0.14
[t1a][epoch 17/50] loss=1.4182  val_acc=0.5828  macroF1=0.2789  edit=22.01  segF1@50=0.18
[t1a][epoch 18/50] loss=1.2216  val_acc=0.7248  macroF1=0.3418  edit=29.29  segF1@50=0.21
[t1a][epoch 19/50] loss=1.1785  val_acc=0.7809  macroF1=0.3904  edit=33.67  segF1@50=0.21
[t1a][epoch 20/50] loss=1.1012  val_acc=0.7710  macroF1=0.4156  edit=25.56  segF1@50=0.20
[t1a][epoch 21/50] loss=1.0308  val_acc=0.8185  macroF1=0.5565  edit=21.79  segF1@50=0.18
[t1a][epoch 22/50] loss=0.9420  val_acc=0.7611  macroF1=0.4734  edit=29.39  segF1@50=0.19
[t1a][epoch 23/50] loss=0.9177  val_acc=0.7980  macroF1=0.5407  edit=20.81  segF1@50=0.08
[t1a][epoch 24/50] loss=0.8802  val_acc=0.8099  macroF1=0.5357  edit=21.60  segF1@50=0.15
[t1a][epoch 25/50] loss=0.8259  val_acc=0.8416  macroF1=0.6024  edit=25.85  segF1@50=0.23
[t1a][epoch 26/50] loss=0.8220  val_acc=0.7043  macroF1=0.4760  edit=10.26  segF1@50=0.04
[t1a][epoch 27/50] loss=0.8984  val_acc=0.7637  macroF1=0.4348  edit=17.20  segF1@50=0.07
[t1a][epoch 28/50] loss=0.9711  val_acc=0.7109  macroF1=0.4190  edit=9.57  segF1@50=0.05
[t1a][epoch 29/50] loss=1.3457  val_acc=0.7432  macroF1=0.4485  edit=11.67  segF1@50=0.07
[t1a][epoch 30/50] loss=1.2537  val_acc=0.5947  macroF1=0.4204  edit=11.02  segF1@50=0.04
[t1a][epoch 31/50] loss=1.1442  val_acc=0.6475  macroF1=0.5021  edit=21.07  segF1@50=0.09
[t1a][epoch 32/50] loss=0.8822  val_acc=0.6383  macroF1=0.4850  edit=16.33  segF1@50=0.07
[t1a][epoch 33/50] loss=0.8070  val_acc=0.6317  macroF1=0.5165  edit=20.40  segF1@50=0.07
[t1a][epoch 34/50] loss=0.6957  val_acc=0.7485  macroF1=0.4701  edit=18.98  segF1@50=0.09
[t1a][epoch 35/50] loss=0.6459  val_acc=0.8073  macroF1=0.6114  edit=26.91  segF1@50=0.19
[t1a][epoch 36/50] loss=0.5776  val_acc=0.8449  macroF1=0.6277  edit=29.72  segF1@50=0.22
[t1a][epoch 37/50] loss=0.5460  val_acc=0.8462  macroF1=0.6368  edit=20.71  segF1@50=0.12
[t1a][epoch 38/50] loss=0.5262  val_acc=0.8073  macroF1=0.6373  edit=19.88  segF1@50=0.11
[t1a][epoch 39/50] loss=0.5137  val_acc=0.7888  macroF1=0.6212  edit=16.56  segF1@50=0.06
[t1a][epoch 40/50] loss=0.5086  val_acc=0.8376  macroF1=0.6540  edit=32.60  segF1@50=0.25
[t1a][epoch 41/50] loss=0.4775  val_acc=0.8587  macroF1=0.6431  edit=21.83  segF1@50=0.10
