[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_top3_003_t1a_region_mask_top3_seed456
[t1a][epoch 1/50] loss=3.0802  val_acc=0.3366  macroF1=0.0749  edit=15.33  segF1@50=0.00
[t1a][epoch 2/50] loss=2.1888  val_acc=0.6482  macroF1=0.2181  edit=19.96  segF1@50=0.16
[t1a][epoch 3/50] loss=1.7342  val_acc=0.6779  macroF1=0.2292  edit=29.33  segF1@50=0.21
[t1a][epoch 4/50] loss=1.3929  val_acc=0.7017  macroF1=0.3090  edit=22.02  segF1@50=0.19
[t1a][epoch 5/50] loss=1.1809  val_acc=0.7485  macroF1=0.3936  edit=27.54  segF1@50=0.23
[t1a][epoch 6/50] loss=1.0935  val_acc=0.7314  macroF1=0.3786  edit=40.66  segF1@50=0.26
[t1a][epoch 7/50] loss=1.0880  val_acc=0.8013  macroF1=0.4722  edit=34.21  segF1@50=0.26
[t1a][epoch 8/50] loss=1.1928  val_acc=0.7452  macroF1=0.4381  edit=45.95  segF1@50=0.28
[t1a][epoch 9/50] loss=1.1225  val_acc=0.8521  macroF1=0.5474  edit=43.02  segF1@50=0.42
[t1a][epoch 10/50] loss=0.9051  val_acc=0.8620  macroF1=0.5718  edit=35.11  segF1@50=0.32
[t1a][epoch 11/50] loss=0.7959  val_acc=0.8614  macroF1=0.5682  edit=41.90  segF1@50=0.42
[t1a][epoch 12/50] loss=0.6996  val_acc=0.8535  macroF1=0.5826  edit=33.02  segF1@50=0.29
[t1a][epoch 13/50] loss=0.6490  val_acc=0.8607  macroF1=0.5694  edit=45.85  segF1@50=0.37
[t1a][epoch 14/50] loss=0.6113  val_acc=0.8620  macroF1=0.6007  edit=37.13  segF1@50=0.33
[t1a][epoch 15/50] loss=0.5796  val_acc=0.8647  macroF1=0.5712  edit=34.95  segF1@50=0.34
[t1a][epoch 16/50] loss=0.5890  val_acc=0.8832  macroF1=0.6682  edit=33.28  segF1@50=0.31
[t1a][epoch 17/50] loss=0.5360  val_acc=0.8700  macroF1=0.5775  edit=39.30  segF1@50=0.39
