[taux] train clips=13  val clips=3  in_dim=13568  kernel=tecno  feature=window  k=3  target=region  region_only=False  classes=9  device=cuda
[taux] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/taux_tecno_windowk3_003_taux_tecno_windowk3_seed456
[taux][epoch 1/50] loss=2.8094  val_acc=0.6832  macroF1=0.2292  edit=30.54  segF1@50=0.26
[taux][epoch 2/50] loss=1.7978  val_acc=0.6825  macroF1=0.2328  edit=35.44  segF1@50=0.20
[taux][epoch 3/50] loss=1.2014  val_acc=0.7809  macroF1=0.3781  edit=30.14  segF1@50=0.25
[taux][epoch 4/50] loss=0.9585  val_acc=0.7941  macroF1=0.4178  edit=34.83  segF1@50=0.27
[taux][epoch 5/50] loss=0.7651  val_acc=0.8997  macroF1=0.6920  edit=38.97  segF1@50=0.34
[taux][epoch 6/50] loss=0.6469  val_acc=0.9261  macroF1=0.7432  edit=42.51  segF1@50=0.41
[taux][epoch 7/50] loss=0.5744  val_acc=0.9307  macroF1=0.7741  edit=39.24  segF1@50=0.41
[taux][epoch 8/50] loss=0.5238  val_acc=0.9241  macroF1=0.7443  edit=41.90  segF1@50=0.40
[taux][epoch 9/50] loss=0.5529  val_acc=0.9340  macroF1=0.7690  edit=40.25  segF1@50=0.41
[taux][epoch 10/50] loss=0.4736  val_acc=0.9320  macroF1=0.7609  edit=44.16  segF1@50=0.47
[taux][epoch 11/50] loss=0.4399  val_acc=0.9333  macroF1=0.7887  edit=40.83  segF1@50=0.44
[taux][epoch 12/50] loss=0.4124  val_acc=0.9399  macroF1=0.7908  edit=44.15  segF1@50=0.49
[taux][epoch 13/50] loss=0.4703  val_acc=0.9267  macroF1=0.7613  edit=40.32  segF1@50=0.41
[taux][epoch 14/50] loss=0.6335  val_acc=0.9406  macroF1=0.7943  edit=38.83  segF1@50=0.46
[taux][epoch 15/50] loss=0.5219  val_acc=0.9419  macroF1=0.7999  edit=40.62  segF1@50=0.43
[taux][epoch 16/50] loss=0.4727  val_acc=0.9419  macroF1=0.8001  edit=37.29  segF1@50=0.40
[taux][epoch 17/50] loss=0.4008  val_acc=0.9419  macroF1=0.8038  edit=39.39  segF1@50=0.42
[taux][epoch 18/50] loss=0.3611  val_acc=0.9432  macroF1=0.7960  edit=32.36  segF1@50=0.39
[taux][epoch 19/50] loss=0.3357  val_acc=0.9446  macroF1=0.8049  edit=44.44  segF1@50=0.51
[taux][epoch 20/50] loss=0.3316  val_acc=0.9380  macroF1=0.7942  edit=41.67  segF1@50=0.46
[taux][epoch 21/50] loss=0.3067  val_acc=0.9465  macroF1=0.8014  edit=34.31  segF1@50=0.42
[taux][epoch 22/50] loss=0.2946  val_acc=0.9406  macroF1=0.7997  edit=42.56  segF1@50=0.48
[taux][epoch 23/50] loss=0.2816  val_acc=0.9406  macroF1=0.7967  edit=37.12  segF1@50=0.43
[taux][epoch 24/50] loss=0.2721  val_acc=0.9413  macroF1=0.7964  edit=38.38  segF1@50=0.44
[taux][epoch 25/50] loss=0.2666  val_acc=0.9485  macroF1=0.8120  edit=41.31  segF1@50=0.49
[taux][epoch 26/50] loss=0.2625  val_acc=0.9373  macroF1=0.7913  edit=43.78  segF1@50=0.48
[taux][epoch 27/50] loss=0.2645  val_acc=0.9432  macroF1=0.8092  edit=40.03  segF1@50=0.46
[taux][epoch 28/50] loss=0.2945  val_acc=0.9360  macroF1=0.7802  edit=45.14  segF1@50=0.48
[taux][epoch 29/50] loss=0.3496  val_acc=0.9432  macroF1=0.8037  edit=34.72  segF1@50=0.40
[taux][epoch 30/50] loss=0.3042  val_acc=0.9083  macroF1=0.7532  edit=32.73  segF1@50=0.32
[taux][epoch 31/50] loss=0.4418  val_acc=0.8970  macroF1=0.7452  edit=31.29  segF1@50=0.36
[taux][epoch 32/50] loss=0.4752  val_acc=0.9373  macroF1=0.7859  edit=33.01  segF1@50=0.36
[taux][epoch 33/50] loss=0.3851  val_acc=0.9366  macroF1=0.7974  edit=39.80  segF1@50=0.40
[taux][epoch 34/50] loss=0.3291  val_acc=0.9340  macroF1=0.7903  edit=37.83  segF1@50=0.39
[taux][epoch 35/50] loss=0.2769  val_acc=0.9366  macroF1=0.8031  edit=38.79  segF1@50=0.39
[taux][epoch 36/50] loss=0.2506  val_acc=0.9459  macroF1=0.8093  edit=35.29  segF1@50=0.39
[taux][epoch 37/50] loss=0.2338  val_acc=0.9386  macroF1=0.8043  edit=42.05  segF1@50=0.42
[taux][epoch 38/50] loss=0.2224  val_acc=0.9446  macroF1=0.8060  edit=38.54  segF1@50=0.40
