[taux] train clips=13  val clips=3  in_dim=5888  kernel=tecno  feature=none  k=3  target=region  region_only=False  classes=9  device=cuda
[taux] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/taux_tecno_nonek3_003_taux_tecno_nonek3_seed456
[taux][epoch 1/50] loss=2.7636  val_acc=0.6304  macroF1=0.2133  edit=16.57  segF1@50=0.20
[taux][epoch 2/50] loss=1.7135  val_acc=0.6799  macroF1=0.2293  edit=29.33  segF1@50=0.22
[taux][epoch 3/50] loss=1.1779  val_acc=0.6799  macroF1=0.2281  edit=31.45  segF1@50=0.28
[taux][epoch 4/50] loss=0.9708  val_acc=0.8205  macroF1=0.5223  edit=30.24  segF1@50=0.23
[taux][epoch 5/50] loss=0.8397  val_acc=0.8515  macroF1=0.5500  edit=36.02  segF1@50=0.32
[taux][epoch 6/50] loss=0.7304  val_acc=0.8614  macroF1=0.5645  edit=42.96  segF1@50=0.39
[taux][epoch 7/50] loss=0.6561  val_acc=0.8792  macroF1=0.6243  edit=50.56  segF1@50=0.48
[taux][epoch 8/50] loss=0.7375  val_acc=0.9050  macroF1=0.6654  edit=38.95  segF1@50=0.37
[taux][epoch 9/50] loss=0.6885  val_acc=0.9294  macroF1=0.7512  edit=35.96  segF1@50=0.38
[taux][epoch 10/50] loss=0.5701  val_acc=0.9314  macroF1=0.7600  edit=45.45  segF1@50=0.48
[taux][epoch 11/50] loss=0.5126  val_acc=0.9300  macroF1=0.7599  edit=44.77  segF1@50=0.48
[taux][epoch 12/50] loss=0.4730  val_acc=0.9353  macroF1=0.7666  edit=44.59  segF1@50=0.48
[taux][epoch 13/50] loss=0.4511  val_acc=0.9314  macroF1=0.7672  edit=47.78  segF1@50=0.51
[taux][epoch 14/50] loss=0.4700  val_acc=0.9386  macroF1=0.7927  edit=42.00  segF1@50=0.46
[taux][epoch 15/50] loss=0.4339  val_acc=0.9439  macroF1=0.7920  edit=43.16  segF1@50=0.49
[taux][epoch 16/50] loss=0.4160  val_acc=0.9426  macroF1=0.7935  edit=43.59  segF1@50=0.48
[taux][epoch 17/50] loss=0.3864  val_acc=0.9380  macroF1=0.7901  edit=45.75  segF1@50=0.49
[taux][epoch 18/50] loss=0.3704  val_acc=0.9413  macroF1=0.7850  edit=40.63  segF1@50=0.47
[taux][epoch 19/50] loss=0.3467  val_acc=0.9459  macroF1=0.7958  edit=39.44  segF1@50=0.46
[taux][epoch 20/50] loss=0.3348  val_acc=0.9386  macroF1=0.7854  edit=44.44  segF1@50=0.50
[taux][epoch 21/50] loss=0.3305  val_acc=0.9452  macroF1=0.8043  edit=37.24  segF1@50=0.44
[taux][epoch 22/50] loss=0.3410  val_acc=0.9314  macroF1=0.7625  edit=44.59  segF1@50=0.47
[taux][epoch 23/50] loss=0.3485  val_acc=0.9465  macroF1=0.8017  edit=38.82  segF1@50=0.45
[taux][epoch 24/50] loss=0.3307  val_acc=0.9413  macroF1=0.7886  edit=39.44  segF1@50=0.44
[taux][epoch 25/50] loss=0.3158  val_acc=0.9413  macroF1=0.7789  edit=39.40  segF1@50=0.47
[taux][epoch 26/50] loss=0.2951  val_acc=0.9373  macroF1=0.7953  edit=40.14  segF1@50=0.44
[taux][epoch 27/50] loss=0.2857  val_acc=0.9432  macroF1=0.7969  edit=38.82  segF1@50=0.45
[taux][epoch 28/50] loss=0.2731  val_acc=0.9393  macroF1=0.7842  edit=36.83  segF1@50=0.43
[taux][epoch 29/50] loss=0.2689  val_acc=0.9465  macroF1=0.8008  edit=32.34  segF1@50=0.39
[taux][epoch 30/50] loss=0.2628  val_acc=0.9386  macroF1=0.7925  edit=38.82  segF1@50=0.43
[taux][epoch 31/50] loss=0.2551  val_acc=0.9426  macroF1=0.7961  edit=38.52  segF1@50=0.45
[taux][epoch 32/50] loss=0.2608  val_acc=0.9413  macroF1=0.7846  edit=31.80  segF1@50=0.39
[taux][epoch 33/50] loss=0.2640  val_acc=0.9432  macroF1=0.8077  edit=40.63  segF1@50=0.47
[taux][epoch 34/50] loss=0.2759  val_acc=0.9406  macroF1=0.7801  edit=33.85  segF1@50=0.40
[taux][epoch 35/50] loss=0.2689  val_acc=0.9399  macroF1=0.7931  edit=36.67  segF1@50=0.40
[taux][epoch 36/50] loss=0.2572  val_acc=0.9432  macroF1=0.8027  edit=30.74  segF1@50=0.35
[taux][epoch 37/50] loss=0.2379  val_acc=0.9393  macroF1=0.8003  edit=34.56  segF1@50=0.40
[taux][epoch 38/50] loss=0.2273  val_acc=0.9432  macroF1=0.7947  edit=33.52  segF1@50=0.41
[taux][epoch 39/50] loss=0.2228  val_acc=0.9472  macroF1=0.8041  edit=31.06  segF1@50=0.38
[taux][epoch 40/50] loss=0.2223  val_acc=0.9373  macroF1=0.7867  edit=35.71  segF1@50=0.42
[taux][epoch 41/50] loss=0.2165  val_acc=0.9380  macroF1=0.7988  edit=31.52  segF1@50=0.39
[taux][epoch 42/50] loss=0.2233  val_acc=0.9393  macroF1=0.7833  edit=36.11  segF1@50=0.39
[taux][epoch 43/50] loss=0.2050  val_acc=0.9426  macroF1=0.7922  edit=32.06  segF1@50=0.36
[taux][epoch 44/50] loss=0.1980  val_acc=0.9393  macroF1=0.7913  edit=35.96  segF1@50=0.42
[taux][epoch 45/50] loss=0.1903  val_acc=0.9413  macroF1=0.7922  edit=32.57  segF1@50=0.39
[taux][epoch 46/50] loss=0.1845  val_acc=0.9432  macroF1=0.7966  edit=31.67  segF1@50=0.38
[taux][epoch 47/50] loss=0.1792  val_acc=0.9432  macroF1=0.7921  edit=32.27  segF1@50=0.39
[taux][epoch 48/50] loss=0.1803  val_acc=0.9406  macroF1=0.7939  edit=37.17  segF1@50=0.43
[taux][epoch 49/50] loss=0.1800  val_acc=0.9373  macroF1=0.7903  edit=37.29  segF1@50=0.43
[taux][epoch 50/50] loss=0.1745  val_acc=0.9386  macroF1=0.7960  edit=35.83  segF1@50=0.42
[taux] best @epoch 39: acc=0.9472 macroF1=0.8041
[taux] evidence written -> /home/ubuntu/slocal/m2/experiments/transfer/taux_tecno_nonek3_003_taux_tecno_nonek3_seed456
