[taux] train clips=13  val clips=3  in_dim=5888  kernel=mingru  feature=none  k=3  target=region  region_only=False  classes=9  device=cuda
[taux] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/taux_mingru_nonek3_002_taux_mingru_nonek3_seed123
[taux][epoch 1/50] loss=3.4099  val_acc=0.6825  macroF1=0.2304  edit=38.22  segF1@50=0.35
[taux][epoch 2/50] loss=2.2506  val_acc=0.7855  macroF1=0.3760  edit=43.33  segF1@50=0.34
[taux][epoch 3/50] loss=1.7398  val_acc=0.7894  macroF1=0.3579  edit=50.67  segF1@50=0.37
[taux][epoch 4/50] loss=1.3701  val_acc=0.7954  macroF1=0.3751  edit=44.89  segF1@50=0.34
[taux][epoch 5/50] loss=1.1869  val_acc=0.8436  macroF1=0.5266  edit=54.32  segF1@50=0.44
[taux][epoch 6/50] loss=1.0706  val_acc=0.8838  macroF1=0.6445  edit=47.68  segF1@50=0.41
[taux][epoch 7/50] loss=1.0833  val_acc=0.9096  macroF1=0.6840  edit=51.33  segF1@50=0.44
[taux][epoch 8/50] loss=1.0288  val_acc=0.9155  macroF1=0.7205  edit=54.44  segF1@50=0.47
[taux][epoch 9/50] loss=1.0051  val_acc=0.9215  macroF1=0.7458  edit=44.06  segF1@50=0.47
[taux][epoch 10/50] loss=0.8514  val_acc=0.9188  macroF1=0.7200  edit=57.38  segF1@50=0.55
[taux][epoch 11/50] loss=0.8313  val_acc=0.9234  macroF1=0.7351  edit=58.00  segF1@50=0.56
[taux][epoch 12/50] loss=0.7971  val_acc=0.9215  macroF1=0.7423  edit=55.21  segF1@50=0.59
[taux][epoch 13/50] loss=0.7266  val_acc=0.9340  macroF1=0.7685  edit=75.00  segF1@50=0.73
[taux][epoch 14/50] loss=0.7043  val_acc=0.9300  macroF1=0.7436  edit=75.93  segF1@50=0.68
[taux][epoch 15/50] loss=0.7172  val_acc=0.9300  macroF1=0.7675  edit=50.62  segF1@50=0.57
[taux][epoch 16/50] loss=0.6834  val_acc=0.9281  macroF1=0.7395  edit=55.93  segF1@50=0.49
[taux][epoch 17/50] loss=0.6671  val_acc=0.9373  macroF1=0.7805  edit=78.40  segF1@50=0.77
[taux][epoch 18/50] loss=0.6729  val_acc=0.9248  macroF1=0.7314  edit=58.40  segF1@50=0.54
[taux][epoch 19/50] loss=0.6262  val_acc=0.9333  macroF1=0.7596  edit=76.92  segF1@50=0.75
[taux][epoch 20/50] loss=0.6138  val_acc=0.9333  macroF1=0.7613  edit=64.44  segF1@50=0.66
[taux][epoch 21/50] loss=0.5782  val_acc=0.9347  macroF1=0.7636  edit=58.97  segF1@50=0.62
[taux][epoch 22/50] loss=0.5557  val_acc=0.9347  macroF1=0.7622  edit=55.64  segF1@50=0.56
[taux][epoch 23/50] loss=0.5846  val_acc=0.9307  macroF1=0.7519  edit=53.11  segF1@50=0.49
[taux][epoch 24/50] loss=0.5545  val_acc=0.9366  macroF1=0.7717  edit=73.81  segF1@50=0.71
[taux][epoch 25/50] loss=0.5405  val_acc=0.9320  macroF1=0.7480  edit=55.93  segF1@50=0.51
[taux][epoch 26/50] loss=0.5598  val_acc=0.9393  macroF1=0.7852  edit=49.25  segF1@50=0.51
[taux][epoch 27/50] loss=0.6372  val_acc=0.9182  macroF1=0.7015  edit=51.33  segF1@50=0.43
[taux][epoch 28/50] loss=0.6811  val_acc=0.9366  macroF1=0.7717  edit=58.62  segF1@50=0.61
[taux][epoch 29/50] loss=0.7423  val_acc=0.9281  macroF1=0.7504  edit=60.00  segF1@50=0.57
[taux][epoch 30/50] loss=0.6911  val_acc=0.9492  macroF1=0.7998  edit=78.00  segF1@50=0.78
[taux][epoch 31/50] loss=0.6489  val_acc=0.9320  macroF1=0.7659  edit=52.59  segF1@50=0.60
[taux][epoch 32/50] loss=0.6078  val_acc=0.9360  macroF1=0.7818  edit=52.86  segF1@50=0.53
[taux][epoch 33/50] loss=0.5233  val_acc=0.9399  macroF1=0.7647  edit=76.67  segF1@50=0.73
[taux][epoch 34/50] loss=0.4870  val_acc=0.9419  macroF1=0.7769  edit=57.16  segF1@50=0.57
[taux][epoch 35/50] loss=0.4575  val_acc=0.9413  macroF1=0.7817  edit=53.23  segF1@50=0.53
[taux][epoch 36/50] loss=0.4471  val_acc=0.9340  macroF1=0.7541  edit=60.26  segF1@50=0.61
[taux][epoch 37/50] loss=0.4662  val_acc=0.9419  macroF1=0.7906  edit=51.60  segF1@50=0.53
[taux][epoch 38/50] loss=0.4690  val_acc=0.9340  macroF1=0.7563  edit=55.29  segF1@50=0.52
[taux][epoch 39/50] loss=0.4902  val_acc=0.9439  macroF1=0.7920  edit=56.44  segF1@50=0.54
[taux][epoch 40/50] loss=0.4434  val_acc=0.9386  macroF1=0.7796  edit=50.92  segF1@50=0.50
[taux][epoch 41/50] loss=0.4239  val_acc=0.9393  macroF1=0.7824  edit=49.42  segF1@50=0.50
[taux][epoch 42/50] loss=0.4041  val_acc=0.9366  macroF1=0.7609  edit=58.89  segF1@50=0.62
[taux][epoch 43/50] loss=0.4065  val_acc=0.9413  macroF1=0.7847  edit=43.14  segF1@50=0.47
[taux][epoch 44/50] loss=0.4188  val_acc=0.9327  macroF1=0.7541  edit=52.00  segF1@50=0.48
[taux][epoch 45/50] loss=0.4780  val_acc=0.9386  macroF1=0.7746  edit=53.03  segF1@50=0.52
[taux][epoch 46/50] loss=0.4090  val_acc=0.9485  macroF1=0.8028  edit=54.19  segF1@50=0.54
[taux][epoch 47/50] loss=0.3985  val_acc=0.9439  macroF1=0.7899  edit=58.62  segF1@50=0.64
[taux][epoch 48/50] loss=0.3745  val_acc=0.9419  macroF1=0.7855  edit=49.11  segF1@50=0.51
[taux][epoch 49/50] loss=0.3670  val_acc=0.9419  macroF1=0.7881  edit=51.48  segF1@50=0.52
[taux][epoch 50/50] loss=0.3671  val_acc=0.9386  macroF1=0.7702  edit=52.38  segF1@50=0.50
[taux] best @epoch 30: acc=0.9492 macroF1=0.7998
[taux] evidence written -> /home/ubuntu/slocal/m2/experiments/transfer/taux_mingru_nonek3_002_taux_mingru_nonek3_seed123
