noskewer_class,verdict,maps_to_15cls
BiClamp,absent(31-only),
Bipolar Forceps,exact,Bipolar Forceps
Chisel,absent(31-only),
Cup,absent(31-only),
Drill,absent(31-only),
Electric Cautery,exact,Electric Cautery
Forceps,exact,Forceps
Gauze,exact,Gauze
Hammer,absent(31-only),
Hook,exact,Hook
Kidney Dish,absent(31-only),
Malleable Retractor,partial,Retractor
Mouth Gag,exact,Mouth Gag
Nasogastric Tube,absent(31-only),
Needle Holders,exact,Needle Holders
Pen,absent(31-only),
Petri Dish,absent(31-only),
Raspatory,exact,Raspatory
Retractor,exact,Retractor
Ruler,absent(31-only),
Scalpel,exact,Scalpel
Scissors,exact,Scissors
Screwdriver,absent(31-only),
Skewer,exact,Skewer
Spoon,absent(31-only),
Suction Cannula,exact,Suction Cannula
Suction Tube,absent(31-only),
"Suture, Suture Needle",absent(31-only),
Syringe,exact,Syringe
Trephine,absent(31-only),
Tweezers,exact,Tweezers
