target,load,n_images,n_annotations,orphan_anns,dup_image_ids,dup_ann_ids,images_without_ann,area_le0,bbox_wh_le0,seg_kinds,crowd_keys
tool_bbox/train,OK,9657,32272,0,0,0,39,0,0,rect_polygon:32272,iscrowd:32272
hand_bbox/train,OK,9627,27726,0,0,0,0,1,1,rect_polygon:27725|polygon:1,iscrowd:27726
fusion_split/train,OK,9657,32272,0,0,0,39,0,0,rect_polygon:32272,iscrowd:32272
toolhand/train,OK,7847,21949,0,0,0,2179,0,0,rle:21949,is_crowd:21949
toolhand_withmask/train,OK,5668,21949,0,0,0,0,0,0,rle:21949,is_crowd:21949
tool_bbox/val,OK,1515,4707,0,0,0,0,0,0,rect_polygon:4707,iscrowd:4707
hand_bbox/val,OK,1515,4918,0,0,0,0,0,0,rect_polygon:4918,iscrowd:4918
fusion_split/val,OK,1515,4918,0,0,0,0,0,0,rect_polygon:4918,iscrowd:4918
toolhand/val,OK,1515,5006,0,0,0,171,0,0,rle:5006,is_crowd:5006
toolhand_withmask/val,OK,1344,5006,0,0,0,0,0,0,rle:5006,is_crowd:5006
tool_bbox/test,OK,4265,12673,0,0,0,84,0,0,rect_polygon:12673,iscrowd:12673
hand_bbox/test,OK,4255,13676,0,0,0,0,1,1,rect_polygon:13675|polygon:1,iscrowd:13676
fusion_split/test,OK,4255,13676,0,0,0,0,1,1,rect_polygon:13675|polygon:1,iscrowd:13676
toolhand/test,OK,4255,7220,0,0,0,2161,0,0,rle:7220,is_crowd:7220
toolhand_withmask/test,OK,2094,7220,0,0,0,0,0,0,rle:7220,is_crowd:7220
