task,declared_split,video,n_frames,n_annotations,canonical_split
hand_bbox,test,04,1329,5003,test
hand_bbox,test,05,1217,3220,test
hand_bbox,test,07,1709,5453,test
hand_bbox,train,01,913,3055,train
hand_bbox,train,02,461,1246,train
hand_bbox,train,03,1072,2114,train
hand_bbox,train,06,1375,3796,train
hand_bbox,train,08,1397,3243,train
hand_bbox,train,11,752,2010,train
hand_bbox,train,12,608,2196,train
hand_bbox,train,13,819,2096,train
hand_bbox,train,14,1810,6486,train
hand_bbox,train,15,420,1484,train
hand_bbox,val,09,518,1537,val
hand_bbox,val,10,997,3381,val
tool_bbox,test,04,1329,3038,test
tool_bbox,test,05,1225,2713,test
tool_bbox,test,07,1711,6922,test
tool_bbox,train,01,913,2412,train
tool_bbox,train,02,461,1203,train
tool_bbox,train,03,1089,2743,train
tool_bbox,train,06,1379,5045,train
tool_bbox,train,08,1400,3719,train
tool_bbox,train,11,754,2445,train
tool_bbox,train,12,609,2471,train
tool_bbox,train,13,822,1950,train
tool_bbox,train,14,1810,8456,train
tool_bbox,train,15,420,1828,train
tool_bbox,val,09,518,1471,val
tool_bbox,val,10,997,3236,val
toolhand,test,04,1329,3367,test
toolhand,test,05,1217,375,test
toolhand,test,07,1709,3478,test
toolhand,train,01,913,3357,train
toolhand,train,02,461,1514,train
toolhand,train,03,1089,0,train
toolhand,train,06,1379,3401,train
toolhand,train,08,1400,2939,train
toolhand,train,11,754,2776,train
toolhand,train,12,609,1328,train
toolhand,train,13,822,5068,train
toolhand,train,15,420,1566,train
toolhand,val,09,518,1586,val
toolhand,val,10,997,3420,val
toolhand_withmask,test,04,960,3367,test
toolhand_withmask,test,05,122,375,test
toolhand_withmask,test,07,1012,3478,test
toolhand_withmask,train,01,873,3357,train
toolhand_withmask,train,02,436,1514,train
toolhand_withmask,train,06,929,3401,train
toolhand_withmask,train,08,966,2939,train
toolhand_withmask,train,11,747,2776,train
toolhand_withmask,train,12,485,1328,train
toolhand_withmask,train,13,822,5068,train
toolhand_withmask,train,15,410,1566,train
toolhand_withmask,val,09,433,1586,val
toolhand_withmask,val,10,911,3420,val
