task,declared_split,video,canonical_split,verdict
hand_bbox,test,04,test,OK
hand_bbox,test,05,test,OK
hand_bbox,test,07,test,OK
hand_bbox,train,01,train,OK
hand_bbox,train,02,train,OK
hand_bbox,train,03,train,OK
hand_bbox,train,06,train,OK
hand_bbox,train,08,train,OK
hand_bbox,train,11,train,OK
hand_bbox,train,12,train,OK
hand_bbox,train,13,train,OK
hand_bbox,train,14,train,OK
hand_bbox,train,15,train,OK
hand_bbox,val,09,val,OK
hand_bbox,val,10,val,OK
tool_bbox,test,04,test,OK
tool_bbox,test,05,test,OK
tool_bbox,test,07,test,OK
tool_bbox,train,01,train,OK
tool_bbox,train,02,train,OK
tool_bbox,train,03,train,OK
tool_bbox,train,06,train,OK
tool_bbox,train,08,train,OK
tool_bbox,train,11,train,OK
tool_bbox,train,12,train,OK
tool_bbox,train,13,train,OK
tool_bbox,train,14,train,OK
tool_bbox,train,15,train,OK
tool_bbox,val,09,val,OK
tool_bbox,val,10,val,OK
toolhand,test,04,test,OK
toolhand,test,05,test,OK
toolhand,test,07,test,OK
toolhand,train,01,train,OK
toolhand,train,02,train,OK
toolhand,train,03,train,OK
toolhand,train,06,train,OK
toolhand,train,08,train,OK
toolhand,train,11,train,OK
toolhand,train,12,train,OK
toolhand,train,13,train,OK
toolhand,train,15,train,OK
toolhand,train,14,train,MISSING
toolhand,val,09,val,OK
toolhand,val,10,val,OK
toolhand_withmask,test,04,test,OK
toolhand_withmask,test,05,test,OK
toolhand_withmask,test,07,test,OK
toolhand_withmask,train,01,train,OK
toolhand_withmask,train,02,train,OK
toolhand_withmask,train,06,train,OK
toolhand_withmask,train,08,train,OK
toolhand_withmask,train,11,train,OK
toolhand_withmask,train,12,train,OK
toolhand_withmask,train,13,train,OK
toolhand_withmask,train,15,train,OK
toolhand_withmask,train,03,train,MISSING
toolhand_withmask,train,14,train,MISSING
toolhand_withmask,val,09,val,OK
toolhand_withmask,val,10,val,OK
