file,video,group,n_frames,n_phases,phase_dist
01_1.csv,01,01-15,999,7,closure:508|hemostasis:157|dissection:131|incision:95|design:56|anesthesia:36|disinfection:16
02_1.csv,02,01-15,529,8,closure:181|dissection:96|design:84|anesthesia:49|disinfection:44|hemostasis:44|incision:22|irrigation:9
03_2.csv,03,01-15,1195,7,closure:836|dissection:172|incision:69|design:41|anesthesia:34|hemostasis:29|irrigation:14
03_3.csv,03,01-15,168,2,closure:158|irrigation:10
04_1.csv,04,01-15,1257,8,dissection:530|closure:324|design:177|irrigation:61|anesthesia:56|hemostasis:50|incision:42|disinfection:17
04_2.csv,04,01-15,386,2,closure:312|dressing:74
05_1.csv,05,01-15,1139,6,closure:686|dissection:285|hemostasis:71|incision:53|anesthesia:24|design:20
05_2.csv,05,01-15,179,2,dressing:94|closure:85
06_1.csv,06,01-15,1014,7,dissection:550|closure:224|hemostasis:99|incision:72|design:30|anesthesia:28|disinfection:11
06_2.csv,06,01-15,433,1,closure:433
07_1.csv,07,01-15,1169,8,closure:489|dissection:361|hemostasis:124|incision:70|anesthesia:47|irrigation:35|design:24|disinfection:19
07_2.csv,07,01-15,619,1,closure:619
08_1.csv,08,01-15,1227,6,dissection:613|closure:384|incision:123|hemostasis:45|anesthesia:35|design:27
08_2.csv,08,01-15,364,1,closure:364
09_1.csv,09,01-15,672,5,dissection:298|incision:176|design:101|anesthesia:79|disinfection:18
10_1.csv,10,01-15,1050,6,closure:599|dissection:297|hemostasis:60|anesthesia:40|incision:34|design:20
10_2.csv,10,01-15,182,2,dressing:116|closure:66
11_1.csv,11,01-15,865,8,dissection:446|closure:232|hemostasis:81|dressing:37|design:33|irrigation:13|anesthesia:12|incision:11
12_1.csv,12,01-15,619,6,closure:266|dissection:178|incision:99|irrigation:28|anesthesia:27|hemostasis:21
13_1.csv,13,01-15,843,6,closure:465|dissection:164|incision:149|hemostasis:30|design:21|anesthesia:14
14_1.csv,14,01-15,1408,4,dissection:958|hemostasis:358|incision:54|anesthesia:38
14_2.csv,14,01-15,450,3,dissection:394|irrigation:47|incision:9
15_1.csv,15,01-15,466,4,dissection:326|incision:92|anesthesia:36|design:12
17_1.csv,17,17-22,56,2,dissection:48|incision:8
18_1.csv,18,17-22,388,5,dissection:149|design:104|incision:61|anesthesia:43|disinfection:31
18_2.csv,18,17-22,558,3,dissection:477|hemostasis:72|closure:9
19_1.csv,19,17-22,1364,7,dissection:1140|incision:50|anesthesia:48|disinfection:44|design:39|closure:25|hemostasis:18
19_2.csv,19,17-22,437,2,dissection:317|closure:120
19_3.csv,19,17-22,1245,5,dissection:1101|design:48|hemostasis:41|irrigation:37|incision:18
19_4.csv,19,17-22,106,1,dissection:106
19_5.csv,19,17-22,561,1,dissection:561
19_6.csv,19,17-22,1466,4,closure:994|hemostasis:182|dissection:161|irrigation:129
20_2.csv,20,17-22,473,5,dissection:218|design:111|incision:82|disinfection:31|anesthesia:31
20_4.csv,20,17-22,414,1,dissection:414
20_5.csv,20,17-22,335,1,dissection:335
20_6.csv,20,17-22,278,1,dissection:278
20_7.csv,20,17-22,20,1,dissection:20
20_8.csv,20,17-22,40,1,dissection:40
21_1.csv,21,17-22,69,1,design:69
21_2.csv,21,17-22,464,5,dissection:403|anesthesia:18|design:17|incision:17|disinfection:9
21_3.csv,21,17-22,862,4,closure:501|dissection:260|irrigation:89|hemostasis:12
21_4.csv,21,17-22,1122,5,closure:599|dissection:383|incision:96|design:40|hemostasis:4
21_5.csv,21,17-22,203,2,dressing:196|closure:7
22_1.csv,22,17-22,1461,4,dissection:1036|incision:200|hemostasis:156|anesthesia:69
22_2.csv,22,17-22,706,3,dissection:504|hemostasis:166|incision:36
22_3.csv,22,17-22,921,4,closure:771|irrigation:66|dissection:55|hemostasis:29
