class,n,fill_median,fill_min,fill_max
Bipolar Forceps,696,0.2029,0.0444,0.824
Electric Cautery,1667,0.1969,0.0417,0.7828
Forceps,6063,0.2638,0.0302,1.6786
Gauze,6695,0.4283,0.0351,1.279
Hook,1349,0.1297,0.0271,0.9842
Needle Holders,4829,0.1199,0.0225,1.0864
Raspatory,814,0.1504,0.0327,0.8315
Retractor,2404,0.1872,0.0255,0.9792
Scalpel,1066,0.1994,0.0383,0.7757
Scissors,2736,0.1477,0.0082,0.8884
Suction Cannula,4411,0.1034,0.0153,1.3917
Syringe,581,0.2611,0.0815,0.694
Tweezers,10012,0.2233,0.0178,1.2589
