split,frame,hand_slot,recovered_tool,containment,margin,img_h,img_w
train,13_1_0720,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,15_1_0274,Right Hand Tool,Scissors,0.9968,0.9968,1080,1920
train,11_1_1248,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_1266,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,11_1_0482,Right Hand Tool,Scissors,1.0,1.0,1080,1920
train,13_1_0517,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,11_1_0369,Two Hands Tool,Scalpel,1.0,1.0,1080,1920
train,13_1_1020,Right Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,06_1_1219,Left Hand Tool,Tweezers,0.9655,0.9655,1080,1920
train,01_1_0458,Right Hand Tool,Gauze,0.9995,0.9533,1080,1920
train,01_1_1167,Left Hand Tool,Tweezers,0.9713,0.9713,1080,1920
train,15_1_0257,Left Hand Tool,Gauze,1.0,1.0,1080,1920
train,11_1_0702,Right Hand Tool,Scissors,1.0,1.0,1080,1920
train,02_1_0672,Left Hand Tool,Tweezers,0.9957,0.9957,1080,1920
train,13_1_0383,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,13_1_0517,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_0622,Left Hand Tool,Tweezers,0.9983,0.9693,1080,1920
train,11_1_1129,Left Hand Tool,Tweezers,1.0,0.7222,1080,1920
train,11_1_0552,Right Hand Tool,Scissors,1.0,1.0,1080,1920
train,13_1_0410,Right Hand Tool,Needle Holders,0.9806,0.9806,1080,1920
train,13_1_0537,Left Hand Tool,Tweezers,0.0146,0.0146,1080,1920
train,13_1_0432,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,06_1_0423,Right Hand Tool,Scissors,0.9763,0.838,1080,1920
train,08_1_1379,Right Hand Tool,Needle Holders,0.9785,0.5457,1080,1920
train,08_1_1107,Right Hand Tool,Scissors,0.9926,0.7803,1080,1920
train,11_1_0692,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,02_1_0422,Left Hand Tool,Tweezers,0.9996,0.9996,1080,1920
train,12_1_0432,Left Hand Tool,Tweezers,1.0,0.6161,1080,1920
train,06_1_1022,Left Hand Tool,Tweezers,0.9997,0.95,1080,1920
train,06_1_0509,Right Hand Tool,Bipolar Forceps,1.0,0.9157,1080,1920
train,08_1_1076,Left Hand Tool,Suction Cannula,0.9971,0.8217,1080,1920
train,12_1_0523,Right Hand Tool,Suction Cannula,1.0,1.0,1080,1920
train,06_1_0922,Right Hand Tool,Scissors,0.999,0.8459,1080,1920
train,06_1_1014,Left Hand Tool,Tweezers,0.9978,0.9948,1080,1920
train,06_1_0644,Right Hand Tool,Scissors,0.9624,0.6915,1080,1920
train,13_1_0433,Left Hand Tool,Forceps,1.0,1.0,1080,1920
train,13_1_1024,Left Hand Tool,Tweezers,0.1825,0.1825,1080,1920
train,01_1_0501,Left Hand Tool,Tweezers,1.0,0.9309,1080,1920
train,15_1_0545,Left Hand Tool,Tweezers,0.9992,0.9986,1080,1920
train,01_1_0450,Left Hand Tool,Tweezers,0.9473,0.9329,1080,1920
train,06_1_0666,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_1029,Right Hand Tool,Needle Holders,0.9957,0.9957,1080,1920
train,06_1_0566,Right Hand Tool,Raspatory,0.9983,0.8761,1080,1920
train,06_1_0374,Left Hand Tool,Suction Cannula,1.0,0.5115,1080,1920
train,06_1_0390,Right Hand Tool,Scissors,1.0,0.6719,1080,1920
train,08_1_1231,Right Hand Tool,Scissors,1.0,0.4438,1080,1920
train,08_1_1457,Left Hand Tool,Tweezers,0.9992,0.6402,1080,1920
train,15_1_0271,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,12_1_0359,Left Hand Tool,Gauze,1.0,0.8898,1080,1920
train,11_1_0761,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,06_1_0450,Right Hand Tool,Bipolar Forceps,0.9999,0.9949,1080,1920
train,08_1_0382,Left Hand Tool,Suction Cannula,0.9765,0.7861,1080,1920
train,13_1_0490,Left Hand Tool,Scissors,0.0,0.0,1080,1920
train,11_1_0580,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,08_1_0670,Right Hand Tool,Scalpel,0.9988,0.8678,1080,1920
train,13_1_0730,Right Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,02_1_0711,Right Hand Tool,Gauze,1.0,0.9987,1080,1920
train,08_1_1524,Right Hand Tool,Needle Holders,0.9984,0.8535,1080,1920
train,13_1_0455,Right Hand Tool,Tweezers,0.0318,0.0318,1080,1920
train,06_1_0591,Left Hand Tool,Suction Cannula,0.9937,0.9937,1080,1920
train,13_1_0869,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0849,Right Hand Tool,Needle Holders,0.0452,0.0452,1080,1920
train,01_1_0757,Left Hand Tool,Tweezers,0.9992,0.9919,1080,1920
train,11_1_0889,Right Hand Tool,Bipolar Forceps,1.0,0.7811,1080,1920
train,12_1_0441,Right Hand Tool,Suction Cannula,1.0,1.0,1080,1920
train,15_1_0328,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,15_1_0385,Right Hand Tool,Scalpel,1.0,0.9455,1080,1920
train,13_1_0718,Right Hand Tool,Tweezers,0.1196,0.1196,1080,1920
train,11_1_0464,Right Hand Tool,Hook,1.0,1.0,1080,1920
train,02_1_0505,Left Hand Tool,Tweezers,1.0,0.7876,1080,1920
train,06_1_0847,Left Hand Tool,Tweezers,0.9883,0.9477,1080,1920
train,15_1_0460,Two Hands Tool,Raspatory,0.9944,0.9944,1080,1920
train,01_1_0919,Right Hand Tool,Needle Holders,0.9616,0.9444,1080,1920
train,13_1_0797,Right Hand Tool,Needle Holders,1.0,0.9547,1080,1920
train,08_1_1543,Right Hand Tool,Mouth Gag,1.0,0.0045,1080,1920
train,15_1_0329,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,06_1_0854,Left Hand Tool,Tweezers,0.9999,0.8392,1080,1920
train,15_1_0591,Right Hand Tool,Raspatory,0.9933,0.9479,1080,1920
train,13_1_1164,Right Hand Tool,Needle Holders,0.3728,0.3728,1080,1920
train,01_1_0376,Right Hand Tool,Scissors,0.9965,0.9067,1080,1920
train,01_1_0955,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0243,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,13_1_0760,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,15_1_0377,Left Hand Tool,Suction Cannula,0.9962,0.9685,1080,1920
train,15_1_0343,Right Hand Tool,Scissors,0.9999,0.9999,1080,1920
train,11_1_0315,Two Hands Tool,Syringe,1.0,1.0,1080,1920
train,01_1_0554,Left Hand Tool,Gauze,1.0,0.9076,1080,1920
train,02_1_0722,Right Hand Tool,Needle Holders,0.9422,0.9422,1080,1920
train,13_1_0828,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,11_1_0768,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,11_1_1222,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,11_1_0927,Right Hand Tool,Bipolar Forceps,1.0,0.7198,1080,1920
train,02_1_0479,Left Hand Tool,Tweezers,0.9911,0.6681,1080,1920
train,02_1_0423,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,02_1_0401,Right Hand Tool,Gauze,1.0,1.0,1080,1920
train,01_1_0240,Right Hand Tool,Syringe,1.0,1.0,1080,1920
train,13_1_1120,Right Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,08_1_1204,Left Hand Tool,Tweezers,0.9932,0.3547,1080,1920
train,13_1_0392,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,06_1_1169,Left Hand Tool,Tweezers,0.9798,0.8142,1080,1920
train,11_1_0527,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,11_1_0430,Right Hand Tool,Scissors,1.0,0.8908,1080,1920
train,01_1_1271,Left Hand Tool,Tweezers,0.9983,0.9983,1080,1920
train,13_1_0915,Right Hand Tool,Scalpel,0.0,0.0,1080,1920
train,06_1_0891,Right Hand Tool,Scissors,0.8986,0.6787,1080,1920
train,08_1_1108,Left Hand Tool,Suction Cannula,0.9979,0.878,1080,1920
train,08_1_1360,Two Hands Tool,Needle Holders,0.9999,0.9428,1080,1920
train,06_1_1017,Left Hand Tool,Tweezers,1.0,0.8686,1080,1920
train,01_1_1068,Right Hand Tool,Needle Holders,0.9978,0.9978,1080,1920
train,12_1_0540,Right Hand Tool,Suction Cannula,1.0,0.3626,1080,1920
train,15_1_0263,Right Hand Tool,Scissors,1.0,1.0,1080,1920
train,08_1_0857,Right Hand Tool,Scissors,0.9966,0.7092,1080,1920
train,08_1_1242,Right Hand Tool,Tweezers,0.9391,0.0741,1080,1920
train,06_1_0441,Right Hand Tool,Bipolar Forceps,0.9873,0.6314,1080,1920
train,08_1_1322,Left Hand Tool,Forceps,1.0,1.0,1080,1920
train,13_1_1063,Right Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,11_1_1124,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,06_1_0779,Left Hand Tool,Tweezers,0.9771,0.7629,1080,1920
train,13_1_0962,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,08_1_1040,Left Hand Tool,Suction Cannula,0.9978,0.7147,1080,1920
train,13_1_0862,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,08_1_0836,Right Hand Tool,Scissors,0.9998,0.6869,1080,1920
train,12_1_0529,Left Hand Tool,Forceps,1.0,0.6878,1080,1920
train,13_1_0900,Right Hand Tool,Tweezers,0.0,0.0,1080,1920
train,02_1_0593,Right Hand Tool,Needle Holders,0.9924,0.9717,1080,1920
train,15_1_0397,Right Hand Tool,Raspatory,0.9975,0.9938,1080,1920
train,13_1_1150,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0308,Right Hand Tool,Gauze,0.281,0.281,1080,1920
train,06_1_1388,Left Hand Tool,Suction Cannula,1.0,0.3882,1080,1920
train,08_1_1194,Left Hand Tool,Tweezers,0.9985,0.8371,1080,1920
train,01_1_1145,Right Hand Tool,Needle Holders,0.9236,0.923,1080,1920
train,01_1_0938,Right Hand Tool,Needle Holders,0.9423,0.9386,1080,1920
train,12_1_0416,Left Hand Tool,Tweezers,1.0,0.4157,1080,1920
train,06_1_0844,Left Hand Tool,Tweezers,0.9987,0.9074,1080,1920
train,13_1_0682,Right Hand Tool,Needle Holders,1.0,0.8668,1080,1920
train,08_1_0546,Right Hand Tool,Mouth Gag,0.9804,0.0287,1080,1920
train,06_1_1292,Right Hand Tool,Needle Holders,0.9995,0.7288,1080,1920
train,12_1_0418,Left Hand Tool,Tweezers,1.0,0.4748,1080,1920
train,02_1_0410,Right Hand Tool,Scissors,0.9523,0.6998,1080,1920
train,02_1_0427,Right Hand Tool,Scissors,0.9327,0.9327,1080,1920
train,01_1_0376,Left Hand Tool,Tweezers,1.0,0.8123,1080,1920
train,13_1_0683,Left Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,11_1_1001,Right Hand Tool,Bipolar Forceps,1.0,1.0,1080,1920
train,08_1_1512,Left Hand Tool,Forceps,0.9967,0.711,1080,1920
train,08_1_1510,Left Hand Tool,Forceps,0.9982,0.3914,1080,1920
train,01_1_0882,Left Hand Tool,Tweezers,0.9605,0.9605,1080,1920
train,15_1_0258,Right Hand Tool,Scissors,0.9866,0.972,1080,1920
train,08_1_1319,Right Hand Tool,Mouth Gag,0.9894,0.0949,1080,1920
train,13_1_0671,Right Hand Tool,Needle Holders,0.097,0.0503,1080,1920
train,12_1_0203,Left Hand Tool,Suction Cannula,1.0,0.1609,1080,1920
train,02_1_0363,Right Hand Tool,Scalpel,0.9994,0.0126,1080,1920
train,15_1_0352,Two Hands Tool,Tweezers,0.9665,0.9345,1080,1920
train,13_1_1025,Right Hand Tool,Tweezers,0.0603,0.0603,1080,1920
train,08_1_1388,Right Hand Tool,Needle Holders,0.9991,0.6538,1080,1920
train,11_1_1120,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,06_1_0643,Right Hand Tool,Scissors,1.0,0.7613,1080,1920
train,02_1_0725,Right Hand Tool,Needle Holders,0.9992,0.7637,1080,1920
train,01_1_1117,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0781,Left Hand Tool,Tweezers,0.9577,0.9577,1080,1920
train,08_1_1047,Left Hand Tool,Suction Cannula,0.9998,0.9998,1080,1920
train,13_1_0623,Left Hand Tool,Tweezers,0.2401,0.2401,1080,1920
train,11_1_0850,Left Hand Tool,Tweezers,1.0,0.8135,1080,1920
train,13_1_0652,Left Hand Tool,Electric Cautery,0.3082,0.3082,1080,1920
train,08_1_0334,Right Hand Tool,Scalpel,0.9993,0.9993,1080,1920
train,06_1_0600,Right Hand Tool,Scissors,0.9912,0.611,1080,1920
train,12_1_0420,Right Hand Tool,Suction Cannula,1.0,0.4501,1080,1920
train,02_1_0700,Right Hand Tool,Gauze,1.0,0.6324,1080,1920
train,06_1_1324,Right Hand Tool,Needle Holders,0.9794,0.154,1080,1920
train,11_1_0393,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_0764,Left Hand Tool,Tweezers,0.9999,0.9999,1080,1920
train,13_1_0265,Right Hand Tool,Bipolar Forceps,0.939,0.7437,1080,1920
train,12_1_1023,Right Hand Tool,Suction Cannula,1.0,1.0,1080,1920
train,01_1_0691,Left Hand Tool,Gauze,1.0,1.0,1080,1920
train,12_1_1596,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,13_1_0905,Right Hand Tool,Tweezers,0.0,0.0,1080,1920
train,11_1_0417,Right Hand Tool,Gauze,1.0,1.0,1080,1920
train,13_1_0959,Left Hand Tool,Tweezers,0.6983,0.5968,1080,1920
train,06_1_1037,Left Hand Tool,Tweezers,0.9923,0.9085,1080,1920
train,13_1_0334,Left Hand Tool,Tweezers,1.0,0.7274,1080,1920
train,11_1_0834,Left Hand Tool,Tweezers,1.0,0.2878,1080,1920
train,13_1_1072,Left Hand Tool,Tweezers,0.0,0.0,1080,1920
train,13_1_0953,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,11_1_1250,Left Hand Tool,Tweezers,1.0,0.9971,1080,1920
train,06_1_0676,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,13_1_0939,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,13_1_0998,Left Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,06_1_0420,Right Hand Tool,Scissors,0.915,0.915,1080,1920
train,11_1_0543,Right Hand Tool,Scissors,1.0,0.8931,1080,1920
train,13_1_0949,Right Hand Tool,Electric Cautery,1.0,0.9946,1080,1920
train,08_1_1203,Right Hand Tool,Scissors,1.0,0.2796,1080,1920
train,11_1_0400,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_0777,Left Hand Tool,Gauze,0.987,0.987,1080,1920
train,13_1_0340,Left Hand Tool,Tweezers,0.3946,0.0234,1080,1920
train,01_1_1181,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,15_1_0612,Right Hand Tool,Raspatory,0.9991,0.9757,1080,1920
train,06_1_0763,Left Hand Tool,Tweezers,0.9637,0.9637,1080,1920
train,13_1_0935,Left Hand Tool,Scalpel,0.0,0.0,1080,1920
train,13_1_0518,Right Hand Tool,Tweezers,0.0,0.0,1080,1920
train,15_1_0170,Right Hand Tool,Syringe,0.9977,0.9977,1080,1920
train,08_1_1255,Left Hand Tool,Tweezers,0.9998,0.6508,1080,1920
train,01_1_0229,Right Hand Tool,Syringe,1.0,1.0,1080,1920
train,15_1_0438,Right Hand Tool,Raspatory,0.9995,0.9995,1080,1920
train,11_1_1113,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,11_1_0773,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,06_1_0997,Left Hand Tool,Suction Cannula,0.9998,0.2523,1080,1920
train,12_1_0620,Right Hand Tool,Suction Cannula,1.0,0.1784,1080,1920
train,02_1_0464,Right Hand Tool,Gauze,0.9914,0.9734,1080,1920
train,11_1_1091,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,06_1_0447,Right Hand Tool,Bipolar Forceps,1.0,0.7545,1080,1920
train,06_1_0494,Left Hand Tool,Suction Cannula,1.0,1.0,1080,1920
train,06_1_1122,Left Hand Tool,Tweezers,0.9984,0.8402,1080,1920
train,06_1_1158,Right Hand Tool,Scissors,0.997,0.7761,1080,1920
train,02_1_0633,Right Hand Tool,Gauze,0.9762,0.9363,1080,1920
train,01_1_1055,Left Hand Tool,Tweezers,0.9983,0.9983,1080,1920
train,06_1_1130,Right Hand Tool,Mouth Gag,1.0,0.0048,1080,1920
train,06_1_0519,Left Hand Tool,Suction Cannula,0.9759,0.9759,1080,1920
train,13_1_1164,Left Hand Tool,Tweezers,0.9628,0.9628,1080,1920
train,06_1_1348,Left Hand Tool,Tweezers,1.0,0.719,1080,1920
train,13_1_1109,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0481,Left Hand Tool,Tweezers,0.3169,0.3169,1080,1920
train,06_1_0575,Right Hand Tool,Raspatory,1.0,0.9759,1080,1920
train,06_1_0416,Left Hand Tool,Tweezers,0.9889,0.457,1080,1920
train,13_1_0689,Left Hand Tool,Tweezers,0.8495,0.8495,1080,1920
train,13_1_0437,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,08_1_1159,Left Hand Tool,Suction Cannula,0.9771,0.7558,1080,1920
train,11_1_1141,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,11_1_0617,Left Hand Tool,Tweezers,1.0,0.9802,1080,1920
train,08_1_0752,Left Hand Tool,Suction Cannula,0.9382,0.51,1080,1920
train,13_1_0407,Right Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,06_1_0781,Right Hand Tool,Raspatory,0.9981,0.897,1080,1920
train,01_1_0943,Left Hand Tool,Tweezers,0.9989,0.9989,1080,1920
train,08_1_1573,Left Hand Tool,Suction Cannula,0.9959,0.7566,1080,1920
train,06_1_1359,Right Hand Tool,Needle Holders,0.9998,0.5919,1080,1920
train,02_1_0649,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_1042,Left Hand Tool,Tweezers,0.9999,0.9999,1080,1920
train,06_1_0674,Right Hand Tool,Scissors,0.9794,0.9534,1080,1920
train,08_1_1188,Left Hand Tool,Tweezers,0.9961,0.81,1080,1920
train,13_1_0815,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,15_1_0295,Right Hand Tool,Scissors,1.0,1.0,1080,1920
train,13_1_0134,Right Hand Tool,Scalpel,1.0,0.9615,1080,1920
train,08_1_1525,Right Hand Tool,Needle Holders,0.9982,0.5916,1080,1920
train,13_1_0512,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0135,Left Hand Tool,Gauze,1.0,0.9606,1080,1920
train,12_1_0680,Left Hand Tool,Gauze,1.0,0.5265,1080,1920
train,13_1_0327,Right Hand Tool,Scalpel,0.2451,0.2451,1080,1920
train,08_1_0821,Right Hand Tool,Scissors,0.8632,0.8082,1080,1920
train,13_1_0409,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_0593,Left Hand Tool,Gauze,1.0,0.8792,1080,1920
train,11_1_0551,Left Hand Tool,Tweezers,1.0,0.9498,1080,1920
train,06_1_1019,Right Hand Tool,Scissors,0.999,0.9761,1080,1920
train,08_1_0360,Left Hand Tool,Suction Cannula,0.9845,0.3173,1080,1920
train,08_1_1017,Left Hand Tool,Suction Cannula,0.999,0.7554,1080,1920
train,06_1_1306,Right Hand Tool,Needle Holders,0.9992,0.9992,1080,1920
train,01_1_0591,Left Hand Tool,Gauze,0.9998,0.9584,1080,1920
train,08_1_1019,Right Hand Tool,Scissors,0.9992,0.7501,1080,1920
train,11_1_0753,Right Hand Tool,Scissors,1.0,0.5103,1080,1920
train,01_1_0565,Left Hand Tool,Gauze,0.9952,0.9952,1080,1920
train,13_1_0451,Left Hand Tool,Tweezers,0.4238,0.4105,1080,1920
train,15_1_0434,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,06_1_0850,Right Hand Tool,Scissors,1.0,0.8715,1080,1920
train,06_1_1052,Right Hand Tool,Raspatory,0.9944,0.9341,1080,1920
train,06_1_0506,Left Hand Tool,Suction Cannula,1.0,1.0,1080,1920
train,12_1_0400,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,08_1_0453,Right Hand Tool,Mouth Gag,1.0,0.1061,1080,1920
train,15_1_0520,Left Hand Tool,Tweezers,0.9998,0.9998,1080,1920
train,11_1_0532,Left Hand Tool,Gauze,1.0,0.7776,1080,1920
train,02_1_0718,Left Hand Tool,Tweezers,0.994,0.994,1080,1920
train,01_1_0775,Left Hand Tool,Gauze,0.94,0.94,1080,1920
train,13_1_0790,Right Hand Tool,Needle Holders,0.0011,0.0011,1080,1920
train,08_1_1300,Left Hand Tool,Tweezers,0.999,0.7265,1080,1920
train,13_1_0955,Left Hand Tool,Tweezers,1.0,0.9313,1080,1920
train,08_1_1463,Right Hand Tool,Needle Holders,0.9951,0.1337,1080,1920
train,11_1_0433,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,13_1_1111,Left Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,13_1_0831,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,13_1_0725,Right Hand Tool,Needle Holders,0.8411,0.835,1080,1920
train,02_1_0625,Right Hand Tool,Gauze,0.9981,0.9981,1080,1920
train,11_1_1051,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,11_1_1098,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,12_1_0297,Right Hand Tool,Suction Cannula,1.0,0.8012,1080,1920
train,15_1_0249,Left Hand Tool,Gauze,1.0,0.8734,1080,1920
train,01_1_0492,Left Hand Tool,Tweezers,1.0,0.738,1080,1920
train,01_1_0311,Right Hand Tool,Tweezers,1.0,1.0,1080,1920
train,08_1_1232,Left Hand Tool,Tweezers,1.0,0.6984,1080,1920
train,11_1_1267,Left Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_1061,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0623,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,12_1_0505,Left Hand Tool,Hook,1.0,1.0,1080,1920
train,08_1_1247,Right Hand Tool,Scissors,0.9936,0.3461,1080,1920
