segment_dir,video,canonical_split,n_png
01_1,01,train,941
02_1,02,train,459
03_1,03,train,0
03_2,03,train,1264
03_3,03,train,0
04_1,04,test,1007
04_2,04,test,327
05_1,05,test,1233
05_2,05,test,150
06_1,06,train,1077
06_2,06,train,602
07_1,07,test,1283
07_2,07,test,637
08_1,08,train,1020
08_2,08,train,360
09_1,09,val,501
10_1,10,val,1063
10_2,10,val,139
11_1,11,train,878
12_1,12,train,728
12_2,12,train,0
13_1,13,train,1033
14_1,14,train,1451
14_2,14,train,484
15_1,15,train,726
15_2,15,train,285
