split,hand_slot,recovered_tool,n
train,Left Hand Tool,Tweezers,1211
train,Right Hand Tool,Scissors,443
train,Right Hand Tool,Needle Holders,552
train,Two Hands Tool,Scalpel,22
train,Right Hand Tool,Gauze,99
train,Left Hand Tool,Gauze,154
train,Right Hand Tool,Scalpel,177
train,Right Hand Tool,Bipolar Forceps,138
train,Left Hand Tool,Suction Cannula,237
train,Right Hand Tool,Suction Cannula,99
train,Left Hand Tool,Forceps,24
train,Right Hand Tool,Raspatory,148
train,Right Hand Tool,Hook,2
train,Two Hands Tool,Raspatory,12
train,Right Hand Tool,Mouth Gag,44
train,Two Hands Tool,Syringe,30
train,Right Hand Tool,Syringe,34
train,Two Hands Tool,Needle Holders,24
train,Right Hand Tool,Tweezers,27
train,Two Hands Tool,Tweezers,8
train,Right Hand Tool,Electric Cautery,28
train,Left Hand Tool,Needle Holders,15
train,Left Hand Tool,Hook,11
train,Left Hand Tool,Mouth Gag,7
train,Two Hands Tool,Suction Cannula,26
train,Left Hand Tool,Retractor,29
train,Two Hands Tool,Gauze,14
train,Two Hands Tool,Mouth Gag,2
train,Left Hand Tool,Syringe,2
train,Two Hands Tool,Scissors,6
train,Left Hand Tool,Raspatory,6
train,Left Hand Tool,Scalpel,2
train,Two Hands Tool,Retractor,1
train,Left Hand Tool,Scissors,3
train,Right Hand Tool,Retractor,1
train,Right Hand Tool,Forceps,2
train,Left Hand Tool,Electric Cautery,1
val,Right Hand Tool,Scissors,274
val,Left Hand Tool,Gauze,181
val,Left Hand Tool,Suction Cannula,207
val,Left Hand Tool,Tweezers,559
val,Left Hand Tool,Forceps,46
val,Right Hand Tool,Scalpel,120
val,Right Hand Tool,Raspatory,73
val,Right Hand Tool,Needle Holders,413
val,Two Hands Tool,Bipolar Forceps,17
val,Two Hands Tool,Needle Holders,20
val,Two Hands Tool,Syringe,81
val,Two Hands Tool,Scalpel,35
val,Right Hand Tool,Bipolar Forceps,34
val,Left Hand Tool,Hook,20
val,Right Hand Tool,Forceps,14
val,Right Hand Tool,Hook,5
val,Right Hand Tool,Mouth Gag,13
val,Two Hands Tool,Scissors,14
val,Right Hand Tool,Electric Cautery,94
val,Left Hand Tool,Mouth Gag,14
val,Two Hands Tool,Mouth Gag,6
val,Right Hand Tool,Gauze,24
val,Right Hand Tool,Tweezers,5
val,Two Hands Tool,Gauze,8
val,Left Hand Tool,Needle Holders,8
val,Right Hand Tool,Syringe,9
val,Left Hand Tool,Scalpel,2
val,Two Hands Tool,Electric Cautery,2
val,Two Hands Tool,Tweezers,1
val,Left Hand Tool,Electric Cautery,1
val,Left Hand Tool,Scissors,8
val,Right Hand Tool,Suction Cannula,1
val,Left Hand Tool,Bipolar Forceps,2
val,Two Hands Tool,Suction Cannula,1
val,Left Hand Tool,Raspatory,1
val,Two Hands Tool,Forceps,1
test,Right Hand Tool,Forceps,268
test,Right Hand Tool,Bipolar Forceps,101
test,Left Hand Tool,Tweezers,817
test,Left Hand Tool,Forceps,204
test,Right Hand Tool,Tweezers,78
test,Left Hand Tool,Needle Holders,24
test,Right Hand Tool,Suction Cannula,29
test,Left Hand Tool,Retractor,89
test,Two Hands Tool,Forceps,110
test,Right Hand Tool,Needle Holders,459
test,Right Hand Tool,Gauze,86
test,Left Hand Tool,Gauze,225
test,Right Hand Tool,Scissors,171
test,Right Hand Tool,Scalpel,93
test,Right Hand Tool,Syringe,41
test,Right Hand Tool,Electric Cautery,123
test,Right Hand Tool,Retractor,31
test,Two Hands Tool,Scalpel,11
test,Two Hands Tool,Gauze,16
test,Two Hands Tool,Syringe,28
test,Left Hand Tool,Electric Cautery,13
test,Right Hand Tool,Hook,24
test,Left Hand Tool,Scalpel,2
test,Two Hands Tool,Needle Holders,4
test,Two Hands Tool,Tweezers,19
test,Right Hand Tool,Mouth Gag,10
test,Two Hands Tool,Electric Cautery,2
test,Two Hands Tool,Mouth Gag,6
test,Left Hand Tool,Mouth Gag,4
test,Left Hand Tool,Hook,1
test,Left Hand Tool,Suction Cannula,7
test,Left Hand Tool,Syringe,8
test,Left Hand Tool,Scissors,7
test,Left Hand Tool,Bipolar Forceps,1
