segment,hand_slot,n_frames,n_switches,switch_rate,mean_run_length
13_1,Left Hand Tool,457,133,0.2917,3.41
15_1,Right Hand Tool,160,13,0.0818,11.429
11_1,Left Hand Tool,244,42,0.1728,5.674
01_1,Left Hand Tool,299,35,0.1174,8.306
11_1,Right Hand Tool,265,66,0.25,3.955
13_1,Right Hand Tool,450,111,0.2472,4.018
11_1,Two Hands Tool,13,5,0.4167,2.167
06_1,Left Hand Tool,287,38,0.1329,7.359
01_1,Right Hand Tool,310,36,0.1165,8.378
15_1,Left Hand Tool,143,7,0.0493,17.875
02_1,Left Hand Tool,113,3,0.0268,28.25
06_1,Right Hand Tool,308,73,0.2378,4.162
08_1,Right Hand Tool,248,74,0.2996,3.307
12_1,Left Hand Tool,100,31,0.3131,3.125
08_1,Left Hand Tool,234,39,0.1674,5.85
12_1,Right Hand Tool,102,8,0.0792,11.333
02_1,Right Hand Tool,126,36,0.288,3.405
15_1,Two Hands Tool,17,3,0.1875,4.25
08_1,Two Hands Tool,20,5,0.2632,3.333
02_1,Two Hands Tool,18,2,0.1176,6.0
12_1,Two Hands Tool,29,3,0.1071,7.25
06_1,Two Hands Tool,31,11,0.3667,2.583
01_1,Two Hands Tool,9,4,0.5,1.8
13_1,Two Hands Tool,15,7,0.5,1.875
10_1,Right Hand Tool,769,73,0.0951,10.392
09_1,Left Hand Tool,306,46,0.1508,6.511
10_1,Left Hand Tool,774,79,0.1022,9.675
09_1,Right Hand Tool,325,43,0.1327,7.386
10_1,Two Hands Tool,87,19,0.2209,4.35
09_1,Two Hands Tool,99,4,0.0408,19.8
04_1,Right Hand Tool,750,104,0.1389,7.143
07_1,Right Hand Tool,766,182,0.2379,4.186
04_1,Left Hand Tool,594,91,0.1535,6.457
05_2,Two Hands Tool,36,7,0.2,4.5
07_1,Left Hand Tool,865,151,0.1748,5.691
07_1,Two Hands Tool,41,20,0.5,1.952
05_2,Right Hand Tool,80,9,0.1139,8.0
04_1,Two Hands Tool,149,9,0.0608,14.9
05_2,Left Hand Tool,41,8,0.2,4.556
