task,split,n_tool_frames,n_task_frames,n_intersection,coverage,n_videos_in_intersection,missing_videos
toolhand,train,9657,7847,7847,0.8126,9,14
toolhand_withmask,train,9657,5668,5668,0.5869,8,03|14
hand_bbox,train,9657,9627,9627,0.9969,10,
phase,train,9657,10580,9657,1.0,10,
mask,train,9657,12715,9657,1.0,10,
toolhand,val,1515,1515,1515,1.0,2,
toolhand_withmask,val,1515,1344,1344,0.8871,2,
hand_bbox,val,1515,1515,1515,1.0,2,
phase,val,1515,1904,1515,1.0,2,
mask,val,1515,1807,1515,1.0,2,
toolhand,test,4265,4255,4255,0.9977,3,
toolhand_withmask,test,4265,2094,2094,0.491,3,
hand_bbox,test,4265,4255,4255,0.9977,3,
phase,test,4265,4749,4265,1.0,3,
mask,test,4265,5038,4265,1.0,3,
