script,file_state,uses_cuda,n_runs,n_steps,steps,random_seed,numpy_seed,torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic,cudnn_benchmark,pythonhashseed,dataloader_worker_init_fn,dataloader_generator,cublas_workspace_config,num_workers,shuffle,missing_required,can_be_deterministic
scripts/postprocess_b1.py,ok,False,6,1,b1_mtl,False,False,False,False,False,False,False,False,False,False,False,,,"torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/postprocess_t1b.py,ok,False,2,1,t1b_phasefilm,False,False,False,False,False,False,False,False,False,False,False,,,"torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_b1_mtl.py,ok,True,0,0,,True,True,True,False,False,False,False,False,False,False,False,4,False,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_b2a.py,ok,True,265,74,"b2a_base_oracle_noise_p010,b2a_base_oracle_noise_p020,b2a_base_oracle_noise_p030,b2a_base_oracle_top3noise_p010,b2a_base_oracle_top3noise_p020,b2a_base_oracle_top3noise_p030,b2a_det2phase,b2a_det2phase_oracletool,b2a_det2phase_toolpresence,b2a_mask_dim_00,b2a_mask_dim_01,b2a_mask_dim_02 …",True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_g2.py,ok,True,0,0,,True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_haux.py,ok,True,18,6,"haux_hand_count_oracle,haux_hand_geom_oracle,haux_hand_own_other_oracle,haux_hand_presence_oracle,haux_hand_presence_oracle_shuffle,haux_hand_presence_oracle_withtooloracle",True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_s4_tecno.py,ok,True,61,1,s4_phase_baseline,True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_status.py,ok,False,0,0,,False,False,False,False,False,False,False,False,False,False,False,,,"torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_t1a.py,ok,True,132,62,"hires_relation_detr_augstrong_hires_seed42_p123,hires_relation_detr_augstrong_hires_seed42_p42,hires_relation_detr_augstrong_hires_seed42_p456,hires_relation_detr_augstrong_seed42_p123,hires_relation_detr_augstrong_seed42_p42,hires_relation_detr_augstrong_seed42_p456,hires_relation_detr_seed42_p123,hires_relation_detr_seed42_p42,hires_relation_detr_seed42_p456,t1a_3seed_det123_p123_aug,t1a_3seed_det123_p123_frozen,t1a_3seed_det123_p42_aug …",True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_t1a_boundary.py,ok,True,3,1,t1a_boundary,True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_t1a_regiontraj.py,ok,True,6,2,"t1a_regiontraj,t1a_regiontraj_test",True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_t1b.py,ok,True,0,0,,True,True,True,False,False,False,False,False,False,False,False,4,False,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_t1c_bidir.py,ok,True,0,0,,True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
scripts/train_taux.py,ok,True,15,5,"taux_mingru_nonek3,taux_tecno_deltak3,taux_tecno_movavgk3,taux_tecno_nonek3,taux_tecno_windowk3",True,True,True,False,False,False,False,False,False,False,False,,,"cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
src/egosurgery/engines/hooks.py,empty,,0,0,,,,,,,,,,,,,,,,
src/egosurgery/engines/mmdet_components.py,ok,False,0,0,,False,False,False,False,False,False,False,False,False,False,False,,,"torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
src/egosurgery/engines/mmdet_trainer.py,ok,False,0,0,,False,False,False,False,False,False,False,False,False,False,False,"int(self.cfg.train.get(""num_workers"",max(2,num_workers",,"torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
src/egosurgery/engines/phase_trainer.py,ok,True,0,0,,False,False,False,False,False,False,False,False,False,False,False,"int(cfg.train.get(""num_workers"",num_workers","False,True","torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
src/egosurgery/engines/stage_a_trainer.py,ok,True,0,0,,False,False,False,False,False,False,False,False,False,False,False,,,"torch_manual_seed,cuda_manual_seed,use_deterministic_algorithms,cudnn_deterministic",False
src/egosurgery/engines/stage_b_trainer.py,empty,,0,0,,,,,,,,,,,,,,,,
src/egosurgery/engines/stage_c_trainer.py,empty,,0,0,,,,,,,,,,,,,,,,
src/egosurgery/engines/stage_d_trainer.py,empty,,0,0,,,,,,,,,,,,,,,,
