experiment_id,control_of,paired_declared,pairable_now,blocking_reason,pairable_after_dedup,dedup_rule,n_runs_injection,n_seeds_injection,seeds_injection,runs_per_seed_max_injection,n_runs_control,n_seeds_control,seeds_control,runs_per_seed_max_control,seed_set_match,n_seeds_common,n_seeds_paired_now,seeds_only_in_injection,seeds_only_in_control,n_runs_injection_pairable
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,17,3,"42,123,456",7,True,3,0,,,3
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,17,3,"42,123,456",7,True,3,0,,,3
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,17,3,"42,123,456",7,True,3,0,,,3
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,17,3,"42,123,456",7,True,3,0,,,3
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,17,3,"42,123,456",7,True,3,0,,,3
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,17,3,"42,123,456",7,True,3,0,,,3
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,17,3,"42,123,456",7,True,3,0,,,3
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,True,False,both_multi_run_per_seed,True,one_run_per_seed_by_max_seq,9,5,"42,123,456,789,1000",3,17,3,"42,123,456",7,False,3,0,"789,1000",,7
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_hires_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_hires_seed42,True,True,,True,,3,3,"42,123,456",1,3,3,"42,123,456",1,True,3,3,,,3
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed123,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed123,True,False,control_multi_run_per_seed,True,one_run_per_seed_by_max_seq,3,3,"42,123,456",1,6,3,"42,123,456",2,True,3,0,,,3
