experiment_id,group,step,description,split,eval_recipe_id,n_runs,n_seeds,seeds,runs_per_seed_max,hosts,n_runs_excluded,per_class_kind,per_class_metric,arm,control_of,pairing_provenance,control_note_value,delta_method,n_command_variants,AP_common_mean,AP_common_pstd,AP_common_min,AP_common_max,AP_rare_mean,AP_rare_pstd,AP_rare_min,AP_rare_max,accuracy_mean,accuracy_pstd,accuracy_min,accuracy_max,best_epoch_mean,best_epoch_pstd,best_epoch_min,best_epoch_max,control_init_mAP_mean,control_init_mAP_pstd,control_init_mAP_min,control_init_mAP_max,control_mAP_mean,control_mAP_pstd,control_mAP_min,control_mAP_max,delta_control_mean,delta_control_pstd,delta_control_min,delta_control_max,delta_detection_mean,delta_detection_pstd,delta_detection_min,delta_detection_max,edit_score_mean,edit_score_pstd,edit_score_min,edit_score_max,frame_acc_inline_mean,frame_acc_inline_pstd,frame_acc_inline_min,frame_acc_inline_max,init_mAP_mean,init_mAP_pstd,init_mAP_min,init_mAP_max,injection_effect_mean,injection_effect_pstd,injection_effect_min,injection_effect_max,jaccard_mean,jaccard_pstd,jaccard_min,jaccard_max,mAP_mean,mAP_pstd,mAP_min,mAP_max,mAP_50_mean,mAP_50_pstd,mAP_50_min,mAP_50_max,mAP_75_mean,mAP_75_pstd,mAP_75_min,mAP_75_max,macro_f1_mean,macro_f1_pstd,macro_f1_min,macro_f1_max,seg_f1_10_mean,seg_f1_10_pstd,seg_f1_10_min,seg_f1_10_max,seg_f1_25_mean,seg_f1_25_pstd,seg_f1_25_min,seg_f1_25_max,seg_f1_50_mean,seg_f1_50_pstd,seg_f1_50_min,seg_f1_50_max,sigma2_d_mean,sigma2_d_pstd,sigma2_d_min,sigma2_d_max,sigma2_p_mean,sigma2_p_pstd,sigma2_p_min,sigma2_p_max,sticky_accuracy_mean,sticky_accuracy_pstd,sticky_accuracy_min,sticky_accuracy_max,sticky_edit_score_mean,sticky_edit_score_pstd,sticky_edit_score_min,sticky_edit_score_max,sticky_jaccard_mean,sticky_jaccard_pstd,sticky_jaccard_min,sticky_jaccard_max,sticky_macro_f1_mean,sticky_macro_f1_pstd,sticky_macro_f1_min,sticky_macro_f1_max,sticky_seg_f1_10_mean,sticky_seg_f1_10_pstd,sticky_seg_f1_10_min,sticky_seg_f1_10_max,sticky_seg_f1_25_mean,sticky_seg_f1_25_pstd,sticky_seg_f1_25_min,sticky_seg_f1_25_max,sticky_seg_f1_50_mean,sticky_seg_f1_50_pstd,sticky_seg_f1_50_min,sticky_seg_f1_50_max,tool_mAP_mean,tool_mAP_pstd,tool_mAP_min,tool_mAP_max,delta_AP_common,delta_pstd_AP_common,delta_AP_rare,delta_pstd_AP_rare,delta_accuracy,delta_pstd_accuracy,delta_best_epoch,delta_pstd_best_epoch,delta_control_init_mAP,delta_pstd_control_init_mAP,delta_control_mAP,delta_pstd_control_mAP,delta_delta_control,delta_pstd_delta_control,delta_delta_detection,delta_pstd_delta_detection,delta_edit_score,delta_pstd_edit_score,delta_frame_acc_inline,delta_pstd_frame_acc_inline,delta_init_mAP,delta_pstd_init_mAP,delta_injection_effect,delta_pstd_injection_effect,delta_jaccard,delta_pstd_jaccard,delta_mAP,delta_pstd_mAP,delta_mAP_50,delta_pstd_mAP_50,delta_mAP_75,delta_pstd_mAP_75,delta_macro_f1,delta_pstd_macro_f1,delta_seg_f1_10,delta_pstd_seg_f1_10,delta_seg_f1_25,delta_pstd_seg_f1_25,delta_seg_f1_50,delta_pstd_seg_f1_50,delta_sigma2_d,delta_pstd_sigma2_d,delta_sigma2_p,delta_pstd_sigma2_p,delta_sticky_accuracy,delta_pstd_sticky_accuracy,delta_sticky_edit_score,delta_pstd_sticky_edit_score,delta_sticky_jaccard,delta_pstd_sticky_jaccard,delta_sticky_macro_f1,delta_pstd_sticky_macro_f1,delta_sticky_seg_f1_10,delta_pstd_sticky_seg_f1_10,delta_sticky_seg_f1_25,delta_pstd_sticky_seg_f1_25,delta_sticky_seg_f1_50,delta_pstd_sticky_seg_f1_50,delta_tool_mAP,delta_pstd_tool_mAP
_smoke_prior/s0/maskdino_bbox@val,_smoke_prior,s0,maskdino_bbox,val,,3,3,"42,123,456",1,,3,tool,AP,unknown,,not_determinable,,,1,0.013682885605707316,0.0013475595892069618,0.01210447244929276,0.015396934981604306,0.008030959855702907,0.0023183385452926826,0.004781724597529957,0.010034909916396552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014483654371968963,0.0013228878761722862,0.013489107626207905,0.016353227302984486,0.04627873271783878,0.003492617231702507,0.041981073011607334,0.05053591583306546,0.005059741235516527,0.000408514308672957,0.004567326066807766,0.005567619198028157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_smoke_prior/s0/varifocanet_bbox@val,_smoke_prior,s0,varifocanet_bbox,val,,3,3,"42,123,456",1,,3,tool,AP,unknown,,not_determinable,,,1,0.01579218331108504,0.000687234158005935,0.014933618250961627,0.016615909385962288,0.007171434510382412,0.0003106625286033803,0.006798497039479038,0.007559037634028946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01623234640493598,0.0005972814967531946,0.015529271685663567,0.016989324554189632,0.05017998824963829,0.0016524017032822581,0.04844547523648742,0.05240343262628294,0.005983907399327779,0.0006742189341373561,0.005113251243369854,0.006755873488074087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/aligndetr_bbox@val,baselines,s0,aligndetr_bbox,val,1cf2eece1cd3,3,3,"42,123,456",1,philip,0,tool,AP,unknown,,not_determinable,,,1,0.7010190000000001,0.013658221480119593,0.682323,0.71457,0.7868366666666666,0.008184614237838108,0.776898,0.796944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.713279,0.01148590066124549,0.69723,0.723474,0.8352873333333333,0.014300826673851973,0.81683,0.851676,0.769734,0.009916783383066674,0.755967,0.778934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/codetr_bbox@val,baselines,s0,codetr_bbox,val,857cd0f5a5da,3,3,"42,123,456",1,,0,tool,AP,unknown,,not_determinable,,,1,0.6366410256410256,0.003009736555819634,0.6323846153846154,0.6387692307692308,0.7425,0.007153087911291675,0.734,0.7515000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6973333333333332,0.0038586123009300786,0.692,0.701,0.839,0.0016329931618554534,0.837,0.841,0.7613333333333333,0.005249338582674545,0.754,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/dacdetr_bbox@val,baselines,s0,dacdetr_bbox,val,e82672cdfc7d,3,3,"42,123,456",1,philip,0,tool,AP,unknown,,not_determinable,,,1,0.7061737718000913,0.0002066222970246717,0.7058831884994007,0.7063457124553231,0.778226289770781,0.0031439451088082506,0.7745783770576111,0.7822516402080837,,,,,11,0.0,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716466988653047,0.00028765460378638047,0.7160932359699357,0.7167929673149268,0.8378746893889936,0.0017749362312669459,0.8357210513055029,0.84006819110348,0.7669761706624711,0.0011303294789077466,0.7659897792574065,0.7685587428349819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716466988653047,0.00028765460378638047,0.7160932359699357,0.7167929673149268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/ddq_bbox@val,baselines,s0,ddq_bbox,val,a63aecae1158,3,3,"42,123,456",1,philip,0,tool,AP,unknown,,not_determinable,,,1,0.6556666666666667,0.0026306742622934387,0.6520769230769231,0.6583076923076923,0.7683333333333333,0.0015456030825826347,0.7669999999999999,0.7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7186666666666667,0.0020548046676563273,0.716,0.721,0.8456666666666667,0.0018856180831641285,0.843,0.847,0.779,0.006164414002968982,0.771,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/ddq_smoke@val,baselines,s0,ddq_smoke,val,a63aecae1158,1,1,42,1,,1,tool,AP,unknown,,not_determinable,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/dimaskdino_bbox@val,baselines,s0,dimaskdino_bbox,val,1cf2eece1cd3,3,3,"42,123,456",1,philip,0,tool,AP,unknown,,not_determinable,,,1,0.38595233333333334,0.02673977873672273,0.352078,0.417447,0.3812123333333333,0.11512775317398011,0.223447,0.49494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38527533333333336,0.03915412680959981,0.333702,0.428518,0.589922,0.04263107544972331,0.533511,0.636552,0.455951,0.04990336477633547,0.390953,0.512261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/focusdetr_bbox@val,baselines,s0,focusdetr_bbox,val,1cf2eece1cd3,3,3,"42,123,456",1,philip,0,tool,AP,unknown,,not_determinable,,,1,0.6889556666666666,0.00929860295361025,0.675851,0.696455,0.760098,0.01733504479371193,0.735651,0.773907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6991189999999999,0.007044860869219969,0.689406,0.705896,0.842727,0.003161382292605588,0.838278,0.845334,0.7634676666666667,0.008565841361023554,0.753831,0.774643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines/s0/maskdino_bbox@val#None,baselines,s0,maskdino_bbox,val,,3,3,"42,123,456",1,,3,tool,AP,unknown,,not_determinable,,,1,0.3093888888888889,0.011974961016973111,0.2934166666666666,0.32225000000000004,0.1267777777777778,0.011707336520108315,0.11133333333333334,0.1396666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31466666666666665,0.013424687043734857,0.296,0.327,0.42933333333333334,0.0204015249974658,0.402,0.451,0.3426666666666667,0.015412837362262512,0.322,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
