ledger_key,run_id,experiment_id,arm,control_of,pairing_provenance,group,subgroup,path,excluded,exclusion_reason,step,seq,description,seed,seed_command,seed_config,seed_agreement,seed_detector,seed_phase,split,metrics_primary_split,frozen_source_tag,per_class_kind,per_class_metric,per_class_source,per_class_valid_count,eval_recipe_id,host,host_raw,gpu,commit,epoch,notion_page_id,task_id,has_test,n_harvest_warnings,evidence_completeness,metrics_source,wandb_run_id,wandb_run_url,metric.AP_common,metric.AP_rare,metric.accuracy,metric.alpha,metric.control_init_mAP,metric.control_mAP,metric.delta_control,metric.delta_detection,metric.edit_score,metric.elapsed_seconds,metric.final_epoch,metric.final_mAP,metric.frame_acc_inline,metric.grasp_accuracy_left_hand,metric.grasp_accuracy_left_hand_tool,metric.grasp_accuracy_right_hand,metric.grasp_accuracy_right_hand_tool,metric.grasp_accuracy_two_hands_tool,metric.init_mAP,metric.injection_effect,metric.jaccard,metric.mAP,metric.mAP_50,metric.mAP_75,metric.mAP_baseline,metric.mAP_rescored,metric.macro_f1,metric.miss_ctx,metric.rep,metric.seg_f1_10,metric.seg_f1_25,metric.seg_f1_50,metric.sigma2_d,metric.sigma2_p,metric.stage1_epochs,metric.stage1_seconds,metric.sticky_accuracy,metric.sticky_edit_score,metric.sticky_jaccard,metric.sticky_macro_f1,metric.sticky_seg_f1_10,metric.sticky_seg_f1_25,metric.sticky_seg_f1_50,metric.tool_mAP,metric.train__grasp_loss,metric.train__phase_loss,metric.train_clips,metric.val__accuracy,metric.val__edit_score,metric.val__jaccard,metric.val__macro_f1,metric.val__seg_f1_10,metric.val__seg_f1_25,metric.val__seg_f1_50,metric.val_clips,metric_test.accuracy,metric_test.edit_score,metric_test.jaccard,metric_test.macro_f1,metric_test.seg_f1_10,metric_test.seg_f1_25,metric_test.seg_f1_50,metric_test.sticky_accuracy,metric_test.sticky_edit_score,metric_test.sticky_jaccard,metric_test.sticky_macro_f1,metric_test.sticky_seg_f1_10,metric_test.sticky_seg_f1_25,metric_test.sticky_seg_f1_50
_smoke_prior__s0_001_maskdino_bbox_seed42,s0_001_maskdino_bbox_seed42,_smoke_prior/s0/maskdino_bbox@val,unknown,,not_determinable,_smoke_prior,,experiments/_smoke_prior/s0_001_maskdino_bbox_seed42,True,smoke_test,s0,1,maskdino_bbox,42,42,42,agree,,,val,val,,tool,AP,experiments/_smoke_prior/s0_001_maskdino_bbox_seed42/per_class_ap.json,15,,,,,af1fc587e97529756d7235daa071d98442fea151,8,,,False,0,full,metrics_json,,,0.01210447244929276,0.010034909916396552,,,,,,,,,,,,,,,,,,,,0.013489107626207905,0.041981073011607334,0.005567619198028157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_smoke_prior__s0_002_maskdino_bbox_seed123,s0_002_maskdino_bbox_seed123,_smoke_prior/s0/maskdino_bbox@val,unknown,,not_determinable,_smoke_prior,,experiments/_smoke_prior/s0_002_maskdino_bbox_seed123,True,smoke_test,s0,2,maskdino_bbox,123,123,123,agree,,,val,val,,tool,AP,experiments/_smoke_prior/s0_002_maskdino_bbox_seed123/per_class_ap.json,15,,,,,af1fc587e97529756d7235daa071d98442fea151,8,,,False,0,full,metrics_json,,,0.015396934981604306,0.009276245053182213,,,,,,,,,,,,,,,,,,,,0.016353227302984486,0.05053591583306546,0.005044278441713657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_smoke_prior__s0_003_maskdino_bbox_seed456,s0_003_maskdino_bbox_seed456,_smoke_prior/s0/maskdino_bbox@val,unknown,,not_determinable,_smoke_prior,,experiments/_smoke_prior/s0_003_maskdino_bbox_seed456,True,smoke_test,s0,3,maskdino_bbox,456,456,456,agree,,,val,val,,tool,AP,experiments/_smoke_prior/s0_003_maskdino_bbox_seed456/per_class_ap.json,15,,,,,af1fc587e97529756d7235daa071d98442fea151,8,,,False,0,full,metrics_json,,,0.013547249386224883,0.004781724597529957,,,,,,,,,,,,,,,,,,,,0.013608628186714497,0.04631920930884354,0.004567326066807766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_smoke_prior__s0_004_varifocanet_bbox_seed42,s0_004_varifocanet_bbox_seed42,_smoke_prior/s0/varifocanet_bbox@val,unknown,,not_determinable,_smoke_prior,,experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42,True,smoke_test,s0,4,varifocanet_bbox,42,42,42,agree,,,val,val,,tool,AP,experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/per_class_ap.json,15,,,,,af1fc587e97529756d7235daa071d98442fea151,8,,,False,0,full,metrics_json,,,0.016615909385962288,0.007156768857639251,,,,,,,,,,,,,,,,,,,,0.016989324554189632,0.0496910568861445,0.006755873488074087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_smoke_prior__s0_005_varifocanet_bbox_seed123,s0_005_varifocanet_bbox_seed123,_smoke_prior/s0/varifocanet_bbox@val,unknown,,not_determinable,_smoke_prior,,experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123,True,smoke_test,s0,5,varifocanet_bbox,123,123,123,agree,,,val,val,,tool,AP,experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/per_class_ap.json,15,,,,,af1fc587e97529756d7235daa071d98442fea151,8,,,False,0,full,metrics_json,,,0.014933618250961627,0.007559037634028946,,,,,,,,,,,,,,,,,,,,0.015529271685663567,0.04844547523648742,0.005113251243369854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_smoke_prior__s0_006_varifocanet_bbox_seed456,s0_006_varifocanet_bbox_seed456,_smoke_prior/s0/varifocanet_bbox@val,unknown,,not_determinable,_smoke_prior,,experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456,True,smoke_test,s0,6,varifocanet_bbox,456,456,456,agree,,,val,val,,tool,AP,experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/per_class_ap.json,15,,,,,af1fc587e97529756d7235daa071d98442fea151,8,,,False,0,full,metrics_json,,,0.01582702229633121,0.006798497039479038,,,,,,,,,,,,,,,,,,,,0.01617844297495474,0.05240343262628294,0.006082597466539397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines___legacy_score_thr_0__s0_007_codetr_bbox_seed42,s0_007_codetr_bbox_seed42,baselines/s0/codetr_bbox@val,unknown,,not_determinable,baselines,_legacy_score_thr_0,experiments/baselines/_legacy_score_thr_0/s0_007_codetr_bbox_seed42,False,,s0,7,codetr_bbox,42,42,42,agree,,,val,val,,tool,AP,experiments/baselines/_legacy_score_thr_0/s0_007_codetr_bbox_seed42/per_class_ap.json,14,857cd0f5a5da,,aolab,,4fa9bfff33430a741d31df785413759deb0353b5,12,,,False,1,full,metrics_json,,,0.6387692307692308,0.7515000000000001,,,,,,,,,,,,,,,,,,,,0.701,0.841,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines___legacy_score_thr_0__s0_008_codetr_bbox_seed123,s0_008_codetr_bbox_seed123,baselines/s0/codetr_bbox@val,unknown,,not_determinable,baselines,_legacy_score_thr_0,experiments/baselines/_legacy_score_thr_0/s0_008_codetr_bbox_seed123,False,,s0,8,codetr_bbox,123,123,123,agree,,,val,val,,tool,AP,experiments/baselines/_legacy_score_thr_0/s0_008_codetr_bbox_seed123/per_class_ap.json,14,857cd0f5a5da,,aolab,,4fa9bfff33430a741d31df785413759deb0353b5,12,,,False,1,full,metrics_json,,,0.6323846153846154,0.734,,,,,,,,,,,,,,,,,,,,0.692,0.837,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines___legacy_score_thr_0__s0_009_codetr_bbox_seed456,s0_009_codetr_bbox_seed456,baselines/s0/codetr_bbox@val,unknown,,not_determinable,baselines,_legacy_score_thr_0,experiments/baselines/_legacy_score_thr_0/s0_009_codetr_bbox_seed456,False,,s0,9,codetr_bbox,456,456,456,agree,,,val,val,,tool,AP,experiments/baselines/_legacy_score_thr_0/s0_009_codetr_bbox_seed456/per_class_ap.json,14,857cd0f5a5da,,aolab,,4fa9bfff33430a741d31df785413759deb0353b5,12,,,False,1,full,metrics_json,,,0.6387692307692308,0.742,,,,,,,,,,,,,,,,,,,,0.699,0.839,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baselines___legacy_score_thr_0__s0_016_relationdetr_bbox_seed42,s0_016_relationdetr_bbox_seed42,baselines/s0/relationdetr_bbox@val,unknown,,not_determinable,baselines,_legacy_score_thr_0,experiments/baselines/_legacy_score_thr_0/s0_016_relationdetr_bbox_seed42,False,,s0,16,relationdetr_bbox,42,42,,agree,,,val,val,,tool,AP,experiments/baselines/_legacy_score_thr_0/s0_016_relationdetr_bbox_seed42/per_class_ap.json,14,b66459018a92,philip,philip,,4327348e444381f1737309252fb86ad9b5034d6a,12,,,False,1,full,metrics_json,,,0.725107,0.757599,,,,,,,,,,,,,,,,,,,,0.729749,0.854,0.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
