experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_max,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_mean,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_min,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_n,paired_delta,unknown,,,,,1,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_max,paired_delta,unknown,,,,,2.863429691302155e-05,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_mean,paired_delta,unknown,,,,,2.863429691302155e-05,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_min,paired_delta,unknown,,,,,2.863429691302155e-05,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_n,paired_delta,unknown,,,,,1,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_max,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_mean,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_min,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_n,paired_delta,unknown,,,,,1,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_max,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_mean,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_min,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_n,paired_delta,unknown,,,,,3,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_sstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_max,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_mean,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_min,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_n,paired_delta,unknown,,,,,3,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
