epoch=1 val_jaccard=0.087919 accuracy=0.310891
epoch=2 val_jaccard=0.072240 accuracy=0.149175
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.212620 accuracy=0.422442
epoch=4 val_jaccard=0.378912 accuracy=0.740594
epoch=5 val_jaccard=0.427863 accuracy=0.770297
epoch=6 val_jaccard=0.431906 accuracy=0.761716
epoch=7 val_jaccard=0.422587 accuracy=0.751815
epoch=8 val_jaccard=0.438116 accuracy=0.741914
epoch=9 val_jaccard=0.438871 accuracy=0.754455
epoch=10 val_jaccard=0.430733 accuracy=0.751815
epoch=11 val_jaccard=0.405568 accuracy=0.737294
epoch=12 val_jaccard=0.431497 accuracy=0.745215
epoch=13 val_jaccard=0.424133 accuracy=0.745875
epoch=14 val_jaccard=0.407742 accuracy=0.729373
epoch=15 val_jaccard=0.426576 accuracy=0.744554
epoch=16 val_jaccard=0.430092 accuracy=0.747195
epoch=17 val_jaccard=0.427623 accuracy=0.741254
epoch=18 val_jaccard=0.429002 accuracy=0.742574
epoch=19 val_jaccard=0.444652 accuracy=0.745875
epoch=20 val_jaccard=0.413968 accuracy=0.737294
epoch=21 val_jaccard=0.421799 accuracy=0.737954
epoch=22 val_jaccard=0.442544 accuracy=0.745215
epoch=23 val_jaccard=0.431889 accuracy=0.742574
epoch=24 val_jaccard=0.440581 accuracy=0.738614
epoch=25 val_jaccard=0.428025 accuracy=0.738614
epoch=26 val_jaccard=0.434666 accuracy=0.737954
epoch=27 val_jaccard=0.438398 accuracy=0.741254
epoch=28 val_jaccard=0.434553 accuracy=0.736634
epoch=29 val_jaccard=0.433633 accuracy=0.735974
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_026_P15_A_L6_w0.0_h30_foldA_lr0.0001_seed42
