epoch=1 loss=0.498311 val_accuracy=0.518538
epoch=2 loss=0.108599 val_accuracy=0.526599
epoch=3 loss=0.045954 val_accuracy=0.447609
epoch=4 loss=0.031246 val_accuracy=0.504567
epoch=5 loss=0.024431 val_accuracy=0.458356
epoch=6 loss=0.015473 val_accuracy=0.522300
epoch=7 loss=0.020311 val_accuracy=0.480387
epoch=8 loss=0.015862 val_accuracy=0.456744
epoch=9 loss=0.016933 val_accuracy=0.480387
epoch=10 loss=0.018619 val_accuracy=0.462654
epoch=11 loss=0.027041 val_accuracy=0.511016
epoch=12 loss=0.014795 val_accuracy=0.449758
FINETUNE_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_003_ft_lr0.0001_foldB_seed42 acc=0.5265986029016658
