epoch=1 val_jaccard=0.010453 accuracy=0.072542
epoch=2 val_jaccard=0.029065 accuracy=0.075766
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.124660 accuracy=0.238044
epoch=4 val_jaccard=0.206428 accuracy=0.364858
epoch=5 val_jaccard=0.208559 accuracy=0.457818
epoch=6 val_jaccard=0.228718 accuracy=0.439549
epoch=7 val_jaccard=0.240751 accuracy=0.497582
epoch=8 val_jaccard=0.239067 accuracy=0.472327
epoch=9 val_jaccard=0.240892 accuracy=0.504030
epoch=10 val_jaccard=0.235325 accuracy=0.478238
epoch=11 val_jaccard=0.235307 accuracy=0.492746
epoch=12 val_jaccard=0.244306 accuracy=0.479312
epoch=13 val_jaccard=0.244263 accuracy=0.505642
epoch=14 val_jaccard=0.230749 accuracy=0.515852
epoch=15 val_jaccard=0.221680 accuracy=0.487910
epoch=16 val_jaccard=0.240362 accuracy=0.509941
epoch=17 val_jaccard=0.228758 accuracy=0.511016
epoch=18 val_jaccard=0.244599 accuracy=0.520150
epoch=19 val_jaccard=0.229248 accuracy=0.519613
epoch=20 val_jaccard=0.216063 accuracy=0.498119
epoch=21 val_jaccard=0.233062 accuracy=0.522837
epoch=22 val_jaccard=0.231161 accuracy=0.518538
epoch=23 val_jaccard=0.225788 accuracy=0.515852
epoch=24 val_jaccard=0.226851 accuracy=0.525524
epoch=25 val_jaccard=0.227240 accuracy=0.518001
epoch=26 val_jaccard=0.249515 accuracy=0.524449
epoch=27 val_jaccard=0.233939 accuracy=0.516926
epoch=28 val_jaccard=0.220271 accuracy=0.527136
epoch=29 val_jaccard=0.217983 accuracy=0.519613
epoch=30 val_jaccard=0.220981 accuracy=0.526599
epoch=31 val_jaccard=0.220909 accuracy=0.501881
epoch=32 val_jaccard=0.219901 accuracy=0.524449
epoch=33 val_jaccard=0.225168 accuracy=0.534659
epoch=34 val_jaccard=0.227086 accuracy=0.533584
epoch=35 val_jaccard=0.222047 accuracy=0.527136
epoch=36 val_jaccard=0.218768 accuracy=0.526061
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_045_P15_B_L8_w0.0_h60_foldB_lr0.0001_seed42
