epoch=1 val_jaccard=0.010700 accuracy=0.084004
epoch=2 val_jaccard=0.084144 accuracy=0.261569
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.173331 accuracy=0.500503
epoch=4 val_jaccard=0.332816 accuracy=0.730885
epoch=5 val_jaccard=0.354603 accuracy=0.737425
epoch=6 val_jaccard=0.353354 accuracy=0.760060
epoch=7 val_jaccard=0.369647 accuracy=0.761066
epoch=8 val_jaccard=0.342161 accuracy=0.737425
epoch=9 val_jaccard=0.354342 accuracy=0.745473
epoch=10 val_jaccard=0.348296 accuracy=0.748491
epoch=11 val_jaccard=0.320904 accuracy=0.723340
epoch=12 val_jaccard=0.372973 accuracy=0.744467
epoch=13 val_jaccard=0.350626 accuracy=0.736419
epoch=14 val_jaccard=0.350652 accuracy=0.735412
epoch=15 val_jaccard=0.347911 accuracy=0.730885
epoch=16 val_jaccard=0.331498 accuracy=0.724346
epoch=17 val_jaccard=0.360669 accuracy=0.738431
epoch=18 val_jaccard=0.379036 accuracy=0.744970
epoch=19 val_jaccard=0.345128 accuracy=0.732394
epoch=20 val_jaccard=0.342656 accuracy=0.730885
epoch=21 val_jaccard=0.344722 accuracy=0.728873
epoch=22 val_jaccard=0.348638 accuracy=0.734406
epoch=23 val_jaccard=0.352741 accuracy=0.730885
epoch=24 val_jaccard=0.368221 accuracy=0.736419
epoch=25 val_jaccard=0.345719 accuracy=0.729879
epoch=26 val_jaccard=0.343686 accuracy=0.734909
epoch=27 val_jaccard=0.343754 accuracy=0.735412
epoch=28 val_jaccard=0.350261 accuracy=0.735412
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_050_P15_B_L8_w0.0_h30_foldC_lr0.0001_seed42
