epoch=1 loss=0.488648 val_accuracy=0.518403
epoch=2 loss=0.100286 val_accuracy=0.579483
epoch=3 loss=0.053660 val_accuracy=0.613156
epoch=4 loss=0.035735 val_accuracy=0.579875
epoch=5 loss=0.027858 val_accuracy=0.574393
epoch=6 loss=0.032060 val_accuracy=0.575176
epoch=7 loss=0.026382 val_accuracy=0.611590
epoch=8 loss=0.012926 val_accuracy=0.592404
epoch=9 loss=0.011291 val_accuracy=0.545810
epoch=10 loss=0.012059 val_accuracy=0.527408
epoch=11 loss=0.016121 val_accuracy=0.574785
epoch=12 loss=0.036797 val_accuracy=0.607283
FINETUNE_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_005_ft_lr0.0001_foldD_seed42 acc=0.6131558339859045
