epoch=1 val_jaccard=0.003620 accuracy=0.028191
epoch=2 val_jaccard=0.030427 accuracy=0.040720
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.175048 accuracy=0.399765
epoch=4 val_jaccard=0.279771 accuracy=0.564605
epoch=5 val_jaccard=0.288031 accuracy=0.584965
epoch=6 val_jaccard=0.283237 accuracy=0.606891
epoch=7 val_jaccard=0.272004 accuracy=0.575568
epoch=8 val_jaccard=0.297137 accuracy=0.590838
epoch=9 val_jaccard=0.277641 accuracy=0.575176
epoch=10 val_jaccard=0.289394 accuracy=0.594753
epoch=11 val_jaccard=0.304214 accuracy=0.595536
epoch=12 val_jaccard=0.299341 accuracy=0.587706
epoch=13 val_jaccard=0.296429 accuracy=0.595536
epoch=14 val_jaccard=0.309051 accuracy=0.592404
epoch=15 val_jaccard=0.307893 accuracy=0.613156
epoch=16 val_jaccard=0.301687 accuracy=0.594753
epoch=17 val_jaccard=0.303486 accuracy=0.602193
epoch=18 val_jaccard=0.302068 accuracy=0.599060
epoch=19 val_jaccard=0.303897 accuracy=0.601018
epoch=20 val_jaccard=0.306802 accuracy=0.605717
epoch=21 val_jaccard=0.307379 accuracy=0.610807
epoch=22 val_jaccard=0.305894 accuracy=0.610807
epoch=23 val_jaccard=0.310976 accuracy=0.597494
epoch=24 val_jaccard=0.304220 accuracy=0.601018
epoch=25 val_jaccard=0.304517 accuracy=0.610023
epoch=26 val_jaccard=0.296904 accuracy=0.614330
epoch=27 val_jaccard=0.296450 accuracy=0.609240
epoch=28 val_jaccard=0.306342 accuracy=0.613156
epoch=29 val_jaccard=0.297969 accuracy=0.605717
epoch=30 val_jaccard=0.299989 accuracy=0.606891
epoch=31 val_jaccard=0.301263 accuracy=0.612373
epoch=32 val_jaccard=0.293538 accuracy=0.608066
epoch=33 val_jaccard=0.303674 accuracy=0.611981
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_053_P15_B_L6_w0.0_h30_foldD_lr0.0001_seed42
