epoch=1 val_jaccard=0.112696 accuracy=0.466007
epoch=2 val_jaccard=0.105314 accuracy=0.338614
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.223148 accuracy=0.585479
epoch=4 val_jaccard=0.267066 accuracy=0.664026
epoch=5 val_jaccard=0.290319 accuracy=0.694389
epoch=6 val_jaccard=0.301275 accuracy=0.711551
epoch=7 val_jaccard=0.291512 accuracy=0.689769
epoch=8 val_jaccard=0.300495 accuracy=0.689109
epoch=9 val_jaccard=0.294396 accuracy=0.685809
epoch=10 val_jaccard=0.292995 accuracy=0.683828
epoch=11 val_jaccard=0.298994 accuracy=0.681188
epoch=12 val_jaccard=0.301222 accuracy=0.671947
epoch=13 val_jaccard=0.302475 accuracy=0.673927
epoch=14 val_jaccard=0.303869 accuracy=0.679868
epoch=15 val_jaccard=0.297337 accuracy=0.671947
epoch=16 val_jaccard=0.300919 accuracy=0.673927
epoch=17 val_jaccard=0.303918 accuracy=0.670627
epoch=18 val_jaccard=0.302332 accuracy=0.666007
epoch=19 val_jaccard=0.300708 accuracy=0.669307
epoch=20 val_jaccard=0.302144 accuracy=0.673267
epoch=21 val_jaccard=0.302351 accuracy=0.669307
epoch=22 val_jaccard=0.304319 accuracy=0.669307
epoch=23 val_jaccard=0.300135 accuracy=0.674587
epoch=24 val_jaccard=0.303462 accuracy=0.671947
epoch=25 val_jaccard=0.308752 accuracy=0.670627
epoch=26 val_jaccard=0.309284 accuracy=0.671287
epoch=27 val_jaccard=0.298848 accuracy=0.672607
epoch=28 val_jaccard=0.300117 accuracy=0.669307
epoch=29 val_jaccard=0.291529 accuracy=0.666667
epoch=30 val_jaccard=0.291351 accuracy=0.666667
epoch=31 val_jaccard=0.300417 accuracy=0.667987
epoch=32 val_jaccard=0.299448 accuracy=0.667327
epoch=33 val_jaccard=0.299699 accuracy=0.667327
epoch=34 val_jaccard=0.292673 accuracy=0.667327
epoch=35 val_jaccard=0.295405 accuracy=0.669967
epoch=36 val_jaccard=0.296863 accuracy=0.670627
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_068_P15_B_L6_w0.0_h60_foldA_lr3.3333333333333335e-05_seed123
