epoch=1 val_jaccard=0.010453 accuracy=0.072542
epoch=2 val_jaccard=0.023240 accuracy=0.067706
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.170894 accuracy=0.252015
epoch=4 val_jaccard=0.131545 accuracy=0.262762
epoch=5 val_jaccard=0.175542 accuracy=0.424503
epoch=6 val_jaccard=0.203594 accuracy=0.368619
epoch=7 val_jaccard=0.206067 accuracy=0.478238
epoch=8 val_jaccard=0.222924 accuracy=0.434175
epoch=9 val_jaccard=0.210620 accuracy=0.473401
epoch=10 val_jaccard=0.236642 accuracy=0.456744
epoch=11 val_jaccard=0.219451 accuracy=0.463192
epoch=12 val_jaccard=0.246346 accuracy=0.502955
epoch=13 val_jaccard=0.211425 accuracy=0.445997
epoch=14 val_jaccard=0.244463 accuracy=0.521225
epoch=15 val_jaccard=0.224850 accuracy=0.469103
epoch=16 val_jaccard=0.239802 accuracy=0.476088
epoch=17 val_jaccard=0.249181 accuracy=0.536808
epoch=18 val_jaccard=0.251425 accuracy=0.512090
epoch=19 val_jaccard=0.243226 accuracy=0.528748
epoch=20 val_jaccard=0.255181 accuracy=0.535733
epoch=21 val_jaccard=0.247708 accuracy=0.487372
epoch=22 val_jaccard=0.252590 accuracy=0.552929
epoch=23 val_jaccard=0.252872 accuracy=0.522300
epoch=24 val_jaccard=0.254854 accuracy=0.552929
epoch=25 val_jaccard=0.220382 accuracy=0.494358
epoch=26 val_jaccard=0.269989 accuracy=0.554541
epoch=27 val_jaccard=0.232300 accuracy=0.464267
epoch=28 val_jaccard=0.247903 accuracy=0.543256
epoch=29 val_jaccard=0.254376 accuracy=0.528748
epoch=30 val_jaccard=0.253748 accuracy=0.538420
epoch=31 val_jaccard=0.248900 accuracy=0.538420
epoch=32 val_jaccard=0.257278 accuracy=0.557765
epoch=33 val_jaccard=0.254031 accuracy=0.537346
epoch=34 val_jaccard=0.242013 accuracy=0.520688
epoch=35 val_jaccard=0.245836 accuracy=0.525524
epoch=36 val_jaccard=0.245384 accuracy=0.515852
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_082_P15_B_L8_w0.0_h60_foldB_lr3.3333333333333335e-05_seed42
