epoch=1 val_jaccard=0.019625 accuracy=0.076303
epoch=2 val_jaccard=0.073929 accuracy=0.222461
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.149101 accuracy=0.311123
epoch=4 val_jaccard=0.178850 accuracy=0.433638
epoch=5 val_jaccard=0.188416 accuracy=0.470715
epoch=6 val_jaccard=0.164116 accuracy=0.281569
epoch=7 val_jaccard=0.227338 accuracy=0.450296
epoch=8 val_jaccard=0.211051 accuracy=0.376679
epoch=9 val_jaccard=0.194397 accuracy=0.390650
epoch=10 val_jaccard=0.212991 accuracy=0.374530
epoch=11 val_jaccard=0.206113 accuracy=0.431488
epoch=12 val_jaccard=0.234709 accuracy=0.443847
epoch=13 val_jaccard=0.187315 accuracy=0.344438
epoch=14 val_jaccard=0.251245 accuracy=0.485760
epoch=15 val_jaccard=0.249531 accuracy=0.501343
epoch=16 val_jaccard=0.232570 accuracy=0.441698
epoch=17 val_jaccard=0.250035 accuracy=0.501881
epoch=18 val_jaccard=0.247063 accuracy=0.488447
epoch=19 val_jaccard=0.242337 accuracy=0.491671
epoch=20 val_jaccard=0.252424 accuracy=0.504567
epoch=21 val_jaccard=0.254139 accuracy=0.539495
epoch=22 val_jaccard=0.214573 accuracy=0.394949
epoch=23 val_jaccard=0.269567 accuracy=0.580333
epoch=24 val_jaccard=0.256424 accuracy=0.502418
epoch=25 val_jaccard=0.261342 accuracy=0.537883
epoch=26 val_jaccard=0.257003 accuracy=0.500806
epoch=27 val_jaccard=0.266609 accuracy=0.549167
epoch=28 val_jaccard=0.264594 accuracy=0.556690
epoch=29 val_jaccard=0.249426 accuracy=0.504567
epoch=30 val_jaccard=0.280720 accuracy=0.593229
epoch=31 val_jaccard=0.259360 accuracy=0.531972
epoch=32 val_jaccard=0.277671 accuracy=0.583557
epoch=33 val_jaccard=0.271604 accuracy=0.552391
epoch=34 val_jaccard=0.278748 accuracy=0.588931
epoch=35 val_jaccard=0.271907 accuracy=0.576034
epoch=36 val_jaccard=0.281684 accuracy=0.593767
epoch=37 val_jaccard=0.267958 accuracy=0.558839
epoch=38 val_jaccard=0.271003 accuracy=0.568512
epoch=39 val_jaccard=0.269090 accuracy=0.559377
epoch=40 val_jaccard=0.273213 accuracy=0.574960
epoch=41 val_jaccard=0.273297 accuracy=0.578184
epoch=42 val_jaccard=0.273355 accuracy=0.577109
epoch=43 val_jaccard=0.269787 accuracy=0.562063
epoch=44 val_jaccard=0.274639 accuracy=0.576572
epoch=45 val_jaccard=0.273030 accuracy=0.573348
epoch=46 val_jaccard=0.272793 accuracy=0.576034
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_083_P15_C_L8_w0.15_h30_foldB_lr3.3333333333333335e-05_seed42
