epoch=1 loss=0.739101 val_accuracy=0.534456
epoch=2 loss=0.184737 val_accuracy=0.549726
epoch=3 loss=0.070825 val_accuracy=0.563821
epoch=4 loss=0.033723 val_accuracy=0.523493
epoch=5 loss=0.018527 val_accuracy=0.525450
epoch=6 loss=0.011459 val_accuracy=0.555208
epoch=7 loss=0.010639 val_accuracy=0.550901
epoch=8 loss=0.005578 val_accuracy=0.543853
epoch=9 loss=0.004425 val_accuracy=0.539937
epoch=10 loss=0.002206 val_accuracy=0.526625
epoch=11 loss=0.001603 val_accuracy=0.553641
epoch=12 loss=0.002534 val_accuracy=0.571261
FINETUNE_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_012_ft_lr3.3333333333333335e-05_foldD_seed42 acc=0.5712607674236492
