epoch=1 loss=0.747469 val_accuracy=0.720319
epoch=2 loss=0.207178 val_accuracy=0.694510
epoch=3 loss=0.077273 val_accuracy=0.687940
epoch=4 loss=0.036088 val_accuracy=0.702956
epoch=5 loss=0.019099 val_accuracy=0.702018
epoch=6 loss=0.013329 val_accuracy=0.688878
epoch=7 loss=0.008114 val_accuracy=0.691694
epoch=8 loss=0.004200 val_accuracy=0.702487
epoch=9 loss=0.003213 val_accuracy=0.714688
epoch=10 loss=0.005783 val_accuracy=0.692633
epoch=11 loss=0.002864 val_accuracy=0.692633
epoch=12 loss=0.001733 val_accuracy=0.698733
FINETUNE_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_013_ft_lr3.3333333333333335e-05_foldE_seed42 acc=0.7203190990145472
