epoch=1 val_jaccard=0.002347 accuracy=0.016424
epoch=2 val_jaccard=0.123658 accuracy=0.553731
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.148438 accuracy=0.554669
epoch=4 val_jaccard=0.239979 accuracy=0.587048
epoch=5 val_jaccard=0.195018 accuracy=0.657907
epoch=6 val_jaccard=0.260402 accuracy=0.695448
epoch=7 val_jaccard=0.331159 accuracy=0.671046
epoch=8 val_jaccard=0.359795 accuracy=0.761614
epoch=9 val_jaccard=0.281674 accuracy=0.621774
epoch=10 val_jaccard=0.355237 accuracy=0.728766
epoch=11 val_jaccard=0.338691 accuracy=0.692163
epoch=12 val_jaccard=0.340650 accuracy=0.704833
epoch=13 val_jaccard=0.330048 accuracy=0.694040
epoch=14 val_jaccard=0.336704 accuracy=0.697325
epoch=15 val_jaccard=0.325493 accuracy=0.661192
epoch=16 val_jaccard=0.375323 accuracy=0.725012
epoch=17 val_jaccard=0.287789 accuracy=0.646645
epoch=18 val_jaccard=0.348578 accuracy=0.702018
epoch=19 val_jaccard=0.358763 accuracy=0.711872
epoch=20 val_jaccard=0.350688 accuracy=0.705772
epoch=21 val_jaccard=0.351839 accuracy=0.672924
epoch=22 val_jaccard=0.349345 accuracy=0.735336
epoch=23 val_jaccard=0.353816 accuracy=0.678555
epoch=24 val_jaccard=0.368805 accuracy=0.723604
epoch=25 val_jaccard=0.362181 accuracy=0.699672
epoch=26 val_jaccard=0.388874 accuracy=0.710465
epoch=27 val_jaccard=0.345274 accuracy=0.711872
epoch=28 val_jaccard=0.358690 accuracy=0.667292
epoch=29 val_jaccard=0.359301 accuracy=0.712342
epoch=30 val_jaccard=0.341654 accuracy=0.709057
epoch=31 val_jaccard=0.366968 accuracy=0.713280
epoch=32 val_jaccard=0.370508 accuracy=0.712811
epoch=33 val_jaccard=0.352065 accuracy=0.700141
epoch=34 val_jaccard=0.357595 accuracy=0.713280
epoch=35 val_jaccard=0.354362 accuracy=0.708588
epoch=36 val_jaccard=0.356268 accuracy=0.714219
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_097_P15_B_L6_w0.0_h30_foldE_lr3.3333333333333335e-05_seed42
