epoch=1 val_jaccard=0.280755 accuracy=0.745659
epoch=2 val_jaccard=0.222739 accuracy=0.610981
/home/ubuntu/slocal2/m2/.venv/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch=3 val_jaccard=0.160829 accuracy=0.604411
epoch=4 val_jaccard=0.347835 accuracy=0.784608
epoch=5 val_jaccard=0.213352 accuracy=0.639137
epoch=6 val_jaccard=0.236576 accuracy=0.585171
epoch=7 val_jaccard=0.350864 accuracy=0.651807
epoch=8 val_jaccard=0.398760 accuracy=0.755045
epoch=9 val_jaccard=0.313338 accuracy=0.660723
epoch=10 val_jaccard=0.297523 accuracy=0.604880
epoch=11 val_jaccard=0.321195 accuracy=0.648053
epoch=12 val_jaccard=0.380686 accuracy=0.792586
epoch=13 val_jaccard=0.334290 accuracy=0.648522
epoch=14 val_jaccard=0.366580 accuracy=0.746129
epoch=15 val_jaccard=0.235278 accuracy=0.634913
epoch=16 val_jaccard=0.381629 accuracy=0.709057
epoch=17 val_jaccard=0.266749 accuracy=0.655092
epoch=18 val_jaccard=0.405413 accuracy=0.732520
epoch=19 val_jaccard=0.338083 accuracy=0.719850
epoch=20 val_jaccard=0.402666 accuracy=0.735336
epoch=21 val_jaccard=0.265563 accuracy=0.678555
epoch=22 val_jaccard=0.442812 accuracy=0.785547
epoch=23 val_jaccard=0.274053 accuracy=0.688878
epoch=24 val_jaccard=0.410356 accuracy=0.718911
epoch=25 val_jaccard=0.398307 accuracy=0.739559
epoch=26 val_jaccard=0.355160 accuracy=0.717034
epoch=27 val_jaccard=0.445273 accuracy=0.743782
epoch=28 val_jaccard=0.384760 accuracy=0.718911
epoch=29 val_jaccard=0.392533 accuracy=0.734866
epoch=30 val_jaccard=0.402948 accuracy=0.723135
epoch=31 val_jaccard=0.362122 accuracy=0.746598
epoch=32 val_jaccard=0.421446 accuracy=0.721727
epoch=33 val_jaccard=0.379782 accuracy=0.738151
epoch=34 val_jaccard=0.378203 accuracy=0.727827
epoch=35 val_jaccard=0.374760 accuracy=0.732520
epoch=36 val_jaccard=0.372334 accuracy=0.724073
epoch=37 val_jaccard=0.380419 accuracy=0.731112
RUN_COMPLETE /home/ubuntu/slocal2/m2/experiments/phase1/stage1_ptower_r2_100_P15_C_L8_w0.3_h30_foldE_lr3.3333333333333335e-05_seed42
